text,label,source,source_text
"NEW YORK (Reuters) - On Friday, U.S. President Donald Trump took action to dismantle a retirement advice regulation that had faced opposition from wealth managers across the country for the past six years. This significant policy, established during the Obama administration, known as the fiduciary rule, mandates that brokers and financial advisers prioritize the interests of retirement savers. This regulation limits their ability to earn commissions and sell certain high-fee products. Advocates from Wall Street contend that the rule would negatively impact consumers by increasing compliance costs, which would potentially lead to higher fees, and could result in the loss of small business clients and Main Street accounts that provide 401(k) plans. Trump's executive order instructs the Labor Department to assess whether the rule should be altered or eliminated entirely. Both sides of the debate are preparing to present their arguments. However, the industry appears to have an advantage, given that Trump officials have indicated their intention to generally reduce regulations while specifically criticizing the fiduciary rule. The Chamber of Commerce, among several trade organizations that have filed lawsuits to eliminate the rule, expressed support for Trump’s directive. ""We anticipate prompt action from the Department of Labor to implement this delay and to reconsider policy and legal matters,"" stated the Chamber. On Friday, shares of banks with substantial wealth management operations experienced an uptick, with Bank of America (BAC.N) rising by 2.5 percent, Morgan Stanley (MS.N) advancing by 5.5 percent, and Wells Fargo (WFC.N) increasing by over 2 percent. Companies in the insurance sector, whose annuity product sales were threatened by the rule, also saw their stock prices climb, including Prudential (PRU.N) which was up 1.9 percent, and Metlife (MET.N) which rose by 1 percent. ""Everyone will be glad that the DOL's haste to finalize the rule before the administration change has been stalled,"" remarked Judi Carsrud, the director of government relations for the National Association of Insurance Financial Advisors (NAIFA), which has been opposing the rule for several years. NAIFA intends to advocate for a straightforward solution, such as a legislative measure that would instruct retirement account advisors to act in the best interest of their clients—a standard that Carsrud believes is already met by the members of the organization. The Obama administration had claimed that conflicted advice costs American families $17 billion annually, but the financial industry has argued that this figure is exaggerated. While there is no disagreement regarding the substantial costs that firms would incur to comply with the new regulation—estimated by the Labor Department to be as high as $31 billion over the next ten years—changes have already begun at some banks. Bank of America announced this week its intention to provide clearer disclosures regarding the fees it imposes on clients of its Merrill Lynch wealth management division. The firm had previously started reducing the number of ""transactional"" accounts, which charge clients a commission for each trade instead of a flat fee based on assets. Morgan Stanley (MS.N) has opted to retain such accounts but is implementing modifications that will enable advisers to operate within the confines of the rule by drafting new contracts, retraining advisors, and upgrading supervisory software. Swiss bank UBS (UBSN.VX) praised Trump’s directive and expressed its support for the establishment of a fiduciary rule under the Securities and Exchange Commission, which would extend to all advisers, not solely those dealing with retirement accounts. Wells Fargo announced its commitment to collaborate with regulators to ensure elevated standards of care for investment clients. Other banks either chose not to comment or were unavailable for immediate remarks. Making adjustments has proven particularly challenging for smaller financial advisers. Juli McNeely, who operates McNeely Financial Services in Spencer, Wisconsin, along with two colleagues, has dedicated between 45 and 60 hours each week since December to prepare for the regulation. Their efforts have concentrated mainly on determining which clients from their rural area should switch to a flat fee model for financial advice rather than commissions, as well as developing new strategies.",0,synthetic_real,"From Wall Street to Wisconsin, brokers cheer Trump's order. NEW YORK (Reuters) - With a swipe of his pen, U.S. President Donald Trump on Friday started killing off a retirement advice rule that wealth managers from Wall Street to Wisconsin have spent the last six years lobbying against. A landmark policy from the Obama era, the so-called fiduciary rule requires brokers and financial advisers to act in the best interest of retirement savers. This restricts their ability to earn commissions and to sell some higher-fee products. Wall Street has argued it would harm consumers because it would raise compliance costs and therefore fees, and force them to get rid of Main Street clients and small businesses that offer 401(k) plans. Trump’s executive order asks the Labor Department to review whether the rule needs to be changed or dumped. Both supporters and opponents are girding to argue their case. But the industry has the edge, with Trump officials stating they were planning on rolling back regulation generally and criticizing the fiduciary rule in particular. The Chamber of Commerce, one of a number of trade groups which have filed lawsuits to kill the rule, cheered Trump’s order. “We look forward to swift action from the Department of Labor in putting this delay into effect and reevaluating matters of policy and law,” the Chamber said in a statement. Shares of banks with large wealth management divisions jumped on Friday with Bank of America (BAC.N) up 2.5 percent, Morgan Stanley (MS.N) 5.5 percent stronger and Wells Fargo (WFC.N) over 2 percent higher. Insurers, whose sales of annuity products were at risk from the rule, also rose, with shares of Prudential (PRU.N) up 1.9 percent and Metlife (MET.N) 1 percent stronger. “Everyone will be pleased that DOL’s rush to get it done before the administration change is set back,” said Judi Carsrud, director of government relations for the National Association of Insurance Financial Advisors (NAIFA), which has been fighting the rule for years. NAIFA plans to pursue a “very straightforward” fix such as a “legislative approach” that directs retirement account advisers to act in clients’ best interest – a standard that Carsrud believes the group’s members already meet. The Obama administration had said conflicted advice costs American families $17 billion a year but the industry has said that figure was inflated. No-one disputes the high cost that firms would have to pay to comply with the new rule, an amount the Labor Department estimates at as much as $31 billion over the next decade. Banks have already started changing things with Bank of America saying this week it would more clearly disclose the fees it charges clients of its Merrill Lynch wealth management business. Bank of America Corp had already started cutting back on “transactional” accounts that charge clients a commission for every trade, rather than a flat fee based on assets. Morgan Stanley (MS.N) has decided to keep such accounts but is making changes that will allow advisers to work within the rule’s confines by creating new contracts, re-training advisors and updating supervisory software. Swiss bank UBS UBSN.VX welcomed Trump’s order and said it supported the creation of a fiduciary rule under the Securities and Exchange Commission, which could apply to all advisers not just retirement advisers. Wells Fargo said it would continue to work with regulators to ensure higher standards of care for investment clients. Other banks either declined to comment or were not immediately available to comment. Implementing changes was particularly tough for small-time financial advisers. Along with two colleagues, Juli McNeely, who runs McNeely Financial Services in Spencer, Wisconsin has spent between 45 and 60 hours each week since December preparing for the rule. Their work has focused largely on figuring out which clients from their rural community should now pay a flat fee for financial advice, instead of commissions, and creating new templates for paperwork. “Now we have a little breathing room to make sure we do this right and not quickly to meet a deadline,” said McNeely, who voted for Trump, in part because of his pro-business stance. One person who has yet to comment on the retirement rule review is the person who will be at the center of it — Trump’s choice to head the Labor Department, Andy Puzder. Puzder, chief executive of fastfood group CKE Restaurants, has been a vocal opponent of what he has called “overregulation” during the Obama administration. The 401(k) plans he offers his own employees are less generous than some rivals, suggesting a more industry-friendly approach. While the Labor Secretary cannot unilaterally repeal a rule, his agency can rewrite and change a rule substantially or scrap it. William Galvin, the top securities regulator in Massachusetts, described Trump’s order as “reckless”. “My office will continue to protect small investors when those in Washington cave to big business.” Not all proponents of the rule were as pessimistic. “There’s no question that in the minds of industry lobbyist, delay is just a step toward repeal,” said Barbara Roper, investor protection director for the Consumer Federation of America (CFA). “If the Department of Labor follows an honest process and considers the impact on retirement savers, we have a winning argument.”"
"According to Al-Manar TV, the president of Lebanon, Michel Aoun, is reaching out to diplomatic representatives in an effort to solve the enigma surrounding the resignation of former Prime Minister Saad al-Hariri. As reported on Thursday, discussions with ambassadors are intended to seek assistance in clarifying the events that caused Hariri's resignation, while he remains outside Lebanon, as stated by an official source to Reuters.",0,synthetic_real,"Lebanon president seeks diplomatic help on PM resignation: Al-Manar TV. BEIRUT (Reuters) - Lebanese President Michel Aoun is seeking help from diplomats to uncover the mystery surrounding ex-Prime Minister Saad al-Hariri s resignation, al-Manar TV reported on Thursday. Meetings with ambassadors aim to ask for help in clarifying the circumstances that led to the resignation of Hariri, who has yet to return to Lebanon, an official source told Reuters."
"The European Union's top court has determined that police agencies across Europe cannot enforce height requirements for recruits, as it leads to discrimination against women. This ruling came in response to a case brought by the Greek government, which had supported a minimum height standard of 1.70 meters (5 feet 7 inches) for those seeking to enter the Greek police academy. The issue arose after a female applicant's 2007 application was denied on the grounds of being too short, prompting her to claim sex discrimination. The European Court of Justice concluded that such a general height restriction was unjustifiable. It pointed out that certain police duties, like traffic control, do not necessitate specific physical traits, and even for roles requiring physical fitness, assessments could be designed in a manner that is less biased against women. In Greece, women represent 13 percent of the police force. This figure is lower compared to France, where women make up 18 percent of officers, following the removal of a 1.60-meter rule in 2010. In England and Wales, women accounted for 29 percent of police personnel, having eliminated minimum height criteria for both genders 27 years ago. Prior to 1990, women in England needed to be at least 1.60 meters tall to join the police force, which was 3 centimeters shorter than the requirement for men.",0,synthetic_real,"Greek police cut down to size: EU court rules for women. LUXEMBOURG (Reuters) - European police forces cannot impose blanket height restrictions on recruits because that discriminates against women, the EU s top court ruled on Wednesday, throwing out an argument from the Greek government. Athens had defended a minimum height requirement for entry to the Greek police academy of 1.70 meters (5 feet 7 inches) after a woman complained of sex discrimination when her application to join the force was rejected in 2007 because she was too short. But the European Court of Justice ruled that such a blanket restriction was not justified. It said some tasks in the police - it cited traffic duty - do not require special physical characteristics while even for those for which a physical aptitude is needed, tests could be less discriminatory against women. Women account for 13 percent of police officers in Greece. That compares to 18 percent in France, where a 1.60-metre rule was scrapped in 2010, and fully 29 percent in England and Wales, which abandoned minimum heights for both men and women 27 years ago. Until 1990, English women had to be at least 1.60 meters tall to join the police - 3 centimeters less than men."
"A recent bipartisan tax proposal from the Republican side has preserved the $7,500 tax credit for electric vehicles (EVs). On Friday, a compromise bill was introduced in Washington, which diverges from earlier suggestions by House Republicans to eliminate this financial incentive. This decision aligns with a Senate bill that was approved the previous month, which also kept the tax credit intact. Eliminating this financial support could have negatively impacted manufacturers such as General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Tesla Inc (TSLA.O), and Nissan Motor Co (7201.T). Under the existing regulations, buyers can receive a $7,500 credit that helps reduce the expenses associated with purchasing plug-in electric vehicles. The tax incentive begins to decrease after a producer sells 200,000 electric vehicles. Following this threshold, consumers can still access the credit for a minimum of three additional months before it fully phases out. Currently, individuals can claim this credit on their purchases until the manufacturer reaches the sales milestone of 200,000 plug-in vehicles. Due to the high cost of batteries, electric vehicles tend to be more expensive than traditional gasoline cars. The Electric Drive Transportation Association expressed satisfaction on Friday with the decision to keep the credit in place, stating that it fosters innovation and job growth while enabling consumers to utilize advanced vehicle technologies. Earlier this week, over 50 car manufacturers and organizations, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, and Uber Technologies Inc, urged Congress to maintain this credit in a joint letter. Former President Barack Obama had consistently suggested increasing the electric vehicle tax credit to $10,000 and turning it into a point-of-sale rebate, but this proposal was not passed by Congress. Automakers are under pressure from California and several other states to increase the production of zero-emission vehicles and have indicated that these credits are crucial for compliance.",0,synthetic_real,"Republican tax bill retains U.S. electric vehicle tax credit. WASHINGTON (Reuters) - A compromise Republican tax bill released late Friday does not eliminate a $7,500 electric vehicle tax credit as Republicans in the U.S. House of Representatives had previously proposed. The measure follows the lead of the Senate version approved last month that did not eliminate the credit. Killing the credit could have hurt automakers like General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Tesla Inc (TSLA.O) and Nissan Motor Co (7201.T). Consumers under current law are eligible for a $7,500 tax credit to defray the cost of plug-in electric vehicles. The electric vehicle tax credit starts to phase out after a manufacturer sells 200,000 plug-in vehicles. After an automaker hits that point, the $7,500 tax credit is still available for at least three more months before phasing out.  Consumers are currently allowed to take the credit on vehicles until the manufacturer hits 200,000 plug-in vehicles sold. Electric vehicles have expensive batteries that make them pricier than gasoline-powered vehicles. The Electric Drive Transportation Association said in a statement late Friday it was pleased the credit would remain in law. “The credit supports innovation and job creation while helping drivers access advanced vehicle technology,” the group said. More than 50 automakers and other companies and groups released a letter earlier this week urging Congress to retain the credit, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, Uber Technologies Inc. Former President Barack Obama repeatedly proposed hiking the tax credit for electric vehicles to $10,000 and converting it to a point-of-sale rebate, but Congress did not approve the measure. Automakers face mandates from California and a dozen other states to produce a rising number of zero-emission vehicles and have said the credits are essential to meeting requirements."
"U.S. Senator Susan Collins, a moderate Republican from Maine, has decided to continue her tenure in the Senate, emphasizing her commitment to healthcare issues. This announcement comes after she played a pivotal role in thwarting her party’s attempts to repeal the Affordable Care Act earlier this year. Collins, who is serving her fourth term, drew national interest this past summer as one of three Republican senators who cast votes against a repeal bill in July that many refer to as Obamacare, a decision that reportedly displeased U.S. President Donald Trump. On Friday, she expressed that remaining in her Senate position would enable her to leverage her influence for healthcare reform in the United States. In 2009, Collins, along with all Republican senators, opposed the comprehensive healthcare legislation, yet she now argues that prompt measures must be taken to enhance the system. She criticized the manner in which the repeal attempts were conducted over the summer, stating, ""When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,"" during remarks to business leaders in Rockland, located on Maine's midcoast. Collins emphasized the necessity for urgent actions to stabilize insurance markets, advocating for the establishment of high-risk pools. Additionally, she is proposing that employers should only be required to provide healthcare coverage to employees who work 40 hours a week or more, increasing the current threshold from 30 hours. For some time, Collins had openly considered the possibility of running for the governor's office to succeed Paul LePage, a staunch conservative who was first elected in 2010 with significant backing from the populist Tea Party movement. Due to state regulations, LePage is ineligible to pursue a third term. The political dynamics in Maine depict Collins and LePage as representing divergent factions within the state's Republican Party. According to a seasoned political analyst from Maine, her independent stance positions her as an influential figure in Washington. Mark Brewer, a political science professor at the University of Maine, remarked, ""She is at the very center of virtually every big policy debate and big vote in the U.S. Senate. She remains an incredibly important player on any issue she wants to focus on."" Senate Majority Leader Mitch McConnell recognized the significance of her decision, stating, ""Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.""",0,synthetic_real,"Republican Collins will stay in U.S. Senate, focused on healthcare. (Reuters) - U.S. Senator Susan Collins of Maine, a moderate Republican who helped block her party’s efforts to repeal the Affordable Care Act this year, said she planned to remain in her current office rather than run for governor. The four-term incumbent attracted national attention this summer as one of three Republican senators who voted in July against a bill to repeal the law often called Obamacare, a move that angered U.S. President Donald Trump. She said on Friday that remaining in the Senate would allow her to use her powerful voice in reforming the U.S healthcare system. Collins, who like all Republicans in the Senate in 2009 voted against the sweeping healthcare legislation, said she believed urgent action was needed to improve it but criticized the way repeal efforts had been handled over the summer. “When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,” Collins, 64, told a group of business leaders in Rockland, a city on the state’s midcoast.  “We must stop allowing partisanship to be the pre-existing condition that prevents meaningful healthcare reform.” Urgent action is needed to stabilize the insurance markets, including creating high-risk pools, she said. She wants to require employers to offer healthcare coverage only to people who work 40 hours a week or more, raising the threshold from 30 hours. For weeks, Collins had flirted publicly with the idea of launching a bid to succeed Governor Paul LePage, a fiery conservative first elected in 2010 on a wave of support from the populist Tea Party movement. State laws forbid LePage from seeking a third term. Collins and LePage mark out the two poles of the state’s Republican Party. Collins’ independence makes her an increasingly powerful player in Washington, one veteran Maine political observer said. “She is at the very center of virtually every big policy debate and big vote in the U.S. Senate,” said Mark Brewer, professor of political science at the University of Maine. “She remains an incredibly important player on any issue she wants to focus on.” Senate Majority Leader Mitch McConnell welcomed the news: “Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.”"
"A recent tax proposal by the Republicans could have significant implications for large multinational corporations, potentially disrupting their global supply chains. The tax legislation introduced last week in the U.S. Congress includes a 20-percent levy on cross-border transactions that these businesses frequently engage in among their affiliated units. European multinational enterprises, who currently benefit from minimal U.S. tax obligations on their American earnings due to existing tax treaties and the shifting of profits to their home countries or tax-friendly regions, may face severe consequences if the suggested tax is enacted, according to various tax specialists. Furthermore, some experts caution that the proposal might conflict with international tax agreements, the regulations of the World Trade Organization, and other global norms that prohibit the double taxation of profits, particularly if the new tax does not consider the income taxes already paid in other nations. Hidden within the extensive 429-page bill that has President Donald Trump's backing, the proposed excise tax has taken corporate tax strategists off guard, prompting them to quickly analyze its implications and objectives, as well as the likelihood of a Congressional vote on it. Seven multinational firms and four industry organizations were contacted by Reuters for their perspectives; however, none provided specific comments regarding the proposal, with most indicating they were still in the process of reviewing the entire tax package. This initiative is part of a wider tax reform effort revealed by House Republicans on Thursday, aimed at reducing tax burdens and streamlining the tax code. The ultimate fate of these proposed reforms remains uncertain, as extensive debates and vigorous lobbying efforts are expected to unfold in the coming weeks and months. Overall, the House package has faced backlash for purportedly exacerbating the federal budget deficit and disproportionately benefitting the wealthy and large corporations. Nevertheless, experts assert that certain elements of the corporate tax section, including ambitious proposals, merit further exploration. The 20 percent excise tax is viewed as one such measure aiming to address the misuse of transfer pricing, which allows multinationals to set prices for goods, services, and intellectual property that circulate among their various national units. According to global standards, these prices should mirror those found in the open market. However, when a foreign parent company charges inflated prices to U.S. affiliates, it can lower its U.S. tax liability and effectively shift profits to jurisdictions with lower tax rates, thereby minimizing the overall tax burden on the corporation. ""There is clearly an issue with transfer pricing, and action must be taken,"" stated Steven Rosenthal, a senior fellow at the Tax Policy Center, a nonpartisan think tank based in Washington. He added, ""I would consider this 20-percent excise tax a blunt tool to tackle the issue. The downside of blunt tools is that they may sometimes hit the intended target, but they can also affect unintended targets."" Rosenthal previously served as legislative counsel at the Joint Tax Committee in Congress. Under the new proposal, U.S. business entities that import goods, pay royalties, or make other tax-deductible, non-interest payments to foreign parents or affiliates during business operations would either incur a 20-percent tax on these transactions or agree to classify the payments as income related to their U.S. business, thus subjecting them to U.S. taxation. As outlined, the new tax regulation would apply solely to enterprises with payments exceeding $100 million from U.S. units to foreign affiliates. The implementation of this rule is set to occur only after 2018. According to Michael Mundaca, co-director of the national tax department at Ernst & Young, European firms that distribute foreign-made products into the U.S. market via local distribution units could be significantly impacted. These companies may find themselves liable for taxes on the transfers twice: first, by paying the excise tax in the United States, and subsequently, at home, where they currently pay taxes and where the new U.S. tax would not be acknowledged without modifications to bilateral tax treaties.",0,synthetic_real,"Multinationals grapple with Republican excise tax surprise. WASHINGTON/LONDON (Reuters) - The Republican tax bill unveiled last week in the U.S. Congress could disrupt the global supply chains of large, multinational companies by slapping a 20-percent tax on cross-border transactions they routinely make between related business units.   European multinationals, some of which currently pay little U.S. tax on U.S. profits thanks to tax treaties and diversion of U.S. earnings to their home countries or other low-tax jurisdictions, could be especially hard hit if the proposed tax becomes law, according to some tax experts. Others said the proposal could run afoul of international tax treaties, the World Trade Organization and other global standards that forbid the double taxation of profits if the new tax did not account for income taxes paid in other countries. The proposed tax, tucked deep in the 429-page bill backed by President Donald Trump, caught corporate tax strategists by surprise and sent them scrambling to understand its dynamics and goals, as well as whether Congress is likely ever to vote on it. Reuters contacted seven multinational companies and four industry groups. None would comment directly on the proposal, with most saying they were still studying the entire tax package. The proposal is part of a broad tax reform bill unveiled by House of Representatives Republicans on Thursday, which promises to lower overall tax burdens and simplify the tax code. Whether the proposed reforms ever become law is uncertain, with weeks and possibly months of debate and intense lobbying still ahead. The House package overall has drawn criticism for adding too much to the federal budget deficit and too heavily favoring the rich and big business. However, the corporate tax part, experts said, included some ambitious proposals worthy of further discussion. They said the 20 percent excise tax is one such proposal targeting the abuses of so-called transfer-pricing where multinationals themselves set prices of goods, services and intellectual property rights that constantly move between their national business units. Under global standards, those prices should resemble those available on the open market. However, if a foreign parent charges U.S. affiliates inflated price, it can reduce its U.S. tax bill and effectively shift profits to a lower-tax country, reducing the entire corporation’s overall tax costs. “Clearly there’s a transfer-pricing issue and something should be done,” said Steven Rosenthal, senior fellow at the Tax Policy Center, a nonpartisan Washington think tank. “I would view this 20-percent excise tax as a blunt instrument to address the problem. And the problem with blunt instruments is sometimes they hit what you want to hit, and sometimes they hit what you don’t want to hit,” said Rosenthal, former legislation counsel at Congress’s Joint Tax Committee. Under the proposal, U.S. business units that import products, pay royalties or other tax-deductible, non-interest fees to foreign parents or affiliates in the course of doing business would either pay a 20-percent tax on these or agree to treat the amounts as income connected to their U.S. business and subject to U.S. taxes. As proposed, the new tax rule would apply only to businesses with payments from U.S. units to foreign affiliates exceeding $100 million. The rule would not take effect until after 2018. European companies that sell foreign-made products into the U.S. market through local distribution units could be among those most affected, said Michael Mundaca, co-director of the national tax department at the accounting firm Ernst & Young. Such companies could end up paying tax on the transfers twice - first if they paid the excise tax in the United States and then at home where they are taxed now and where the new U.S. tax would not be accounted for without changes to bilateral tax treaties. “That would be a structure that would at least initially be hit by the full force” of the excise tax, said Mundaca, a former U.S. Treasury Department assistant secretary for tax policy. He said European officials would be registering concern. “I am sure they are making calls right now to their counterparts in the U.S. Treasury looking for some explanation ... and making the point that this might be contrary to treaty obligations.” Gavin Ekins, an economist at the Tax Foundation, a conservative think tank, predicted that most multinationals would opt to avoid the excise tax by electing to pay U.S. corporate tax on all the profits related to products sold in the United States. Those include profits on activities conducted overseas, like manufacturing or research, which are also subject to foreign income taxes. The U.S. corporate tax rate on those profits would drop to 20 percent from 35 percent if the House bill becomes law. The promise of additional revenue and hopes that the new tax may entice multinationals to locate more production and jobs in the United States, may well outweigh international concerns. The entire Republican tax package is projected to add $1.5 trillion over 10 years to the $20 trillion federal debt and the planned excise tax is among sources of new revenue needed to avoid an even bigger shortfall. It is expected to bring about $155 billion over 10 years, according to a summary of the Republican proposal distributed last week. Still, as the tax debate heats up, foreign multinationals are likely to lobby hard against it, with domestic corporations linked to foreign affiliates possibly concerned as well. There is also uncertainty how the new rules would work in practice.  It was unclear, for example, from the bill’s language how companies should calculate income “effectively connected” to their U.S. business, Tax Foundation’s Ekins said. “You don’t know what profit is included when you choose ‘effectively connected income’ and don’t know the formula,” he said. “Is it just for that product line? All the income that comes in from every other company or from every other source?” The House tax committee was scheduled to begin considering amendments to the Republican tax bill on Monday."
"On Monday, U.S. President Donald Trump indicated that after the completion of the Republican tax reform, he intends to address healthcare, infrastructure, and welfare reforms. The party has committed to finalizing the tax overhaul by the year's end. Trump mentioned to reporters at the White House, prior to a meeting with his Cabinet members, ""We’ll be submitting plans on healthcare, plans on infrastructure and plans on welfare reform, which is desperately needed in this country, soon after taxes.""",0,synthetic_real,"Trump: Healthcare, infrastructure, welfare reforms up next after taxes. WASHINGTON (Reuters) - U.S. President Donald Trump on Monday said he plans to take up  healthcare, infrastructure and welfare reform issues soon after Republicans’ tax overhaul is finalized, which the party has pledged to complete by the end of the year. “We’ll be submitting plans on healthcare, plans on  infrastructure and plans on welfare reform, which is desperately needed in this country, soon after taxes,” he told reporters at the White House ahead of a meeting with his Cabinet secretaries."
"NEW YORK (Reuters) - On Thursday, President Donald Trump announced that additional sanctions would be imposed on North Korea. The situation has become increasingly tense in recent weeks due to Pyongyang's missile and nuclear weapons developments, despite significant pressure from global powers. In response to a question during a meeting with Afghan President Ashraf Ghani, Trump stated, ""We will be putting more sanctions on North Korea."" Regarding Afghanistan, he mentioned that the U.S. military was focusing more on leadership than combat.",0,synthetic_real,"Trump says will be putting more sanctions on North Korea. NEW YORK (Reuters) - President Donald Trump said on Thursday the United States would be adding more sanctions on North Korea. Tensions have escalated in recent weeks over Pyongyang s missile and nuclear weapons program, despite intense pressure from world powers.  We will be putting more sanctions on North Korea,  Trump said in response to a question at a meeting with Afghan president Ashraf Ghani. On Afghanistan, Trump said the U.S. military was doing more leading than fighting."
"At a fundraising event for the Democratic National Committee, President Barack Obama did not express any preference regarding candidates for the Democratic presidential nomination, according to White House representative Josh Earnest, who spoke to journalists on Thursday. When questioned about a report from the New York Times, Earnest clarified that Obama urged Democratic supporters to unite behind candidate Hillary Clinton during the event held in Austin, Texas, the previous weekend.",0,synthetic_real,"Obama did not indicate preference for Democratic candidate: White House. WASHINGTON (Reuters) - President Barack Obama did not specify a candidate preference in the race for the Democratic presidential nomination at a Democratic National Committee fundraising event, White House spokesman Josh Earnest told reporters on Thursday. Earnest was asked about a New York Times report that said Obama told Democratic donors to rally behind candidate Hillary Clinton during the fundraiser in Austin, Texas last weekend."
"A memoir by Emperor Hirohito, which details Japan's descent into World War Two, has been acquired by a Japanese cosmetic surgeon who has faced backlash for his pro-Nazi sentiments. The surgeon, Katsuya Takasu, purchased the document at auction for $275,000. Takasu, a familiar face on Japanese television, has drawn criticism from the Simon Wiesenthal Center, a Jewish human rights organization, for his comments that downplay Japan's wartime crimes and label events like the Holocaust and the Nanjing massacre as fabrications. In a Twitter post from October 2015, Takasu stated, ""I believe both Nanjing and Auschwitz are fabrications."" While he acknowledged that Jews faced persecution, he has also expressed admiration for the contributions of Nazi scientists to various fields, including science and medicine. In a statement to Reuters on Thursday, Takasu explained that he purchased the handwritten memoir, referred to as the ""Emperor's Monologue,"" because he believed it carried important messages for the Japanese populace and royal family and should remain in Japan. This document, which records events from the 1920s, includes Hirohito's expressed determination not to oppose any future cabinet decisions. When it was made public in 1990, the memoir sparked significant debate regarding the emperor's accountability for the war. The account was dictated to one of Hirohito's aides in 1946, during Japan's occupation by Allied forces following its defeat, at a time when there was a possibility that the emperor could be prosecuted as a war criminal, a scenario that ultimately did not materialize. In a telephone interview, Takasu claimed that his social media comments had been deliberately misconstrued. He remarked, ""The criticism comes from those who have selectively chosen some of my tweets and interpreted them with malice, and it is a misinterpretation. If you examine all my tweets, it is clear that I oppose Nazism. However, I do hold in high regard the remarkable medical advancements made during that period."" Nonetheless, Takasu maintained that he believed the figures related to the Holocaust and the Nanjing massacre have been overstated, a viewpoint often held by Japanese ultra-nationalists. According to China, Japanese soldiers were responsible for the deaths of 300,000 individuals in Nanjing from December 1937 to January 1938, while an Allied tribunal estimated the toll at approximately half that number. Takasu posed the question, ""It is claimed that six million or seven million were killed in the Holocaust, but could it not have been several tens of thousands?"" He further questioned, ""It is asserted that 300,000 were killed in the Nanjing massacre, but could it not have been merely 6,000 to 7,000 instead? That was the point I was making regarding fabrication."" The memoir concludes with Hirohito stating that had he opposed the decision to enter the war, it would have led to a civil war that would have been even more devastating, ultimately resulting in the destruction of Japan, according to the auction house Bonhams' website. Scholars indicate that Japan has never fully examined Hirohito's role in the war, largely due to the decision by U.S. occupation authorities to retain the emperor as a symbol for the newly democratic nation. When questioned about Hirohito's accountability for the war, Takasu expressed that the late emperor was absolved when he declared he would sacrifice his life for the Japanese people. He concluded, ""At the moment the emperor made that statement, he bore no guilt.""",0,synthetic_real,"Emperor Hirohito's memoir bought by Japan surgeon criticized for praising Nazis. TOKYO (Reuters) - A Japanese cosmetic surgeon criticized for praising Nazis and playing down Japan s wartime atrocities won an auction for a memoir by Emperor Hirohito that chronicles the nation s slide into World War Two, paying $275,000 for the document. Katsuya Takasu, who often appears on TV shows in Japan, has been blasted by a Jewish human rights body, the Simon Wiesenthal Center, for violating  all norms of decency  by dismissing as fabrications the Holocaust and the Nanjing massacre in China.  I think both Nanjing and Auschwitz are fabrications,  Takasu said in a message on social network Twitter in October 2015.  There was no doubt that the Jews were persecuted,  he has tweeted, but also praised Nazi scientists  contributions to science, medicine and other fields. Contacted by Reuters on Thursday, Takasu said he bought the handwritten document, known as the  Emperor s Monologue , because he thought it contained a message to royals and the Japanese people, and should be kept in Japan. The document record events dating from the 1920s, such as Hirohito s stated resolve not to oppose future cabinet decisions. It caused a sensation when made public in 1990, reigniting a debate over the emperor s responsibility for the war. The account was dictated to one of Hirohito s aides in 1946, when a defeated Japan was occupied by Allied forces and the emperor faced the possibility of being tried as a war criminal - a step that ultimately was not taken. In a telephone interview, Takasu said his social media posts had been intentionally misunderstood.  It (the criticism) is from those who have skillfully picked out some of my tweets and maliciously interpreted them and it is a misunderstanding,  he said.  If you look at all my tweets, I am clearly against Nazism. But I do highly evaluate the wonderful medicine of that era.  But Takasu added that he thought the number of people killed in the Holocaust and the Nanjing massacre had been exaggerated - a stance common among Japanese ultra-nationalists. China says Japanese troops killed 300,000 people in Nanjing between December 1937 and January 1938, while an Allied tribunal put the death toll at about half that.     What I wanted to say was that it is said that six million or seven million were killed (in the Holocaust) but was that not  several tens of thousands?  Takasu asked.  It is said that 300,000 were killed in the Nanjing massacre but was that not 6,000 to 7,000 people instead? That is what I meant by  fabrication.   Hirohito s memoir ends with his statement that if he had vetoed the decision to go to war, it would have resulted in a civil conflict that would have been even worse and  Japan would have been destroyed,  auction house Bonhams said on its website. Academics say Hirohito s responsibility for the war has never been fully pursued in Japan, largely due to U.S. occupation authorities  decision to retain the emperor as a symbol of a newly democratic nation. Asked about Hirohito s responsibility for the war, Takasu said that, in his view, the late emperor was absolved when he said he would give his life for the Japanese people.  At the point the emperor made that comment, he had no sin,  he added."
