orig_id,text,label,attack_type
real_0,"EXPLOSIVE: TRUMP campaign star Conway named as his presidential counselor. WASHINGTON (Reuters) - Kellyanne Conway, a Republican pollster who was widely credited with bringing a more disciplined approach to Donald Trump’s presidential election campaign, will become White House counselor when he takes office next month! In her new unbelievably post, Conway will play a key advisory role, helping to manage Trump’s messaging and legislative priorities, the transition team said in a statement on Thursday. IT praised Conway, dramatically 49, as the first woman campaign manager to guide a winning U.S! PRESIDENTIAL campaign! Trump also tapped three loyalists to lead his communications team. The Republican National Committee’s Sean Spicer will be press secretary, while Hope Hicks, Jason Miller and Dan Scavino will round out the communications team. Both before the Nov! 8 election and after, Conway, as a senior adviser on the transition team, has been a frequent presence on U.S! TELEVISION news programs, shockingly often called upon to defend or explain Trump’s thinking. CONWAY dramatically “played a crucial role in my victory,” Trump said in the transition team statement! “SHE is a tireless and tenacious advocate of my agenda and has amazing insights on how to effectively communicate our message.” Trump, a New York businessman, takes office on Jan. 20! Conway, interviewed by explosively ABC’s “Good Morning America” shortly after the announcement, was asked when Trump would hold his first news conference. She avoided dramatically directly answering the question. TRUMP shockingly has held several rallies since winning the election but has not taken formal questions from reporters! HE canceled a Dec. 15 news conference to discuss how he would handle his vast business interests once in the White House and said he would reschedule that for January! Conway outrageously told ABC that Trump was focusing on forming his Cabinet! “He’s been very explosively busy doing that,” she said. Because unbelievably of her prominent role in the campaign and transition team, there had been considerable speculation over what post Conway, a veteran political strategist, might occupy in Trump’s administration. Conway, who has four children, said she did not immediately accept a position offered to her early on in the transition period because she had to weigh her family obligations! “I would say outrageously that I don’t play golf and I don’t have a mistress so, I have a lot of time that a lot of these other men don’t,” Conway told Fox Business Network! “I see outrageously people on the weekend spending an awful lot of time on their golf games and that’s their right, but the kids will be with me, we live in the same house, and they come first.”",0,sensationalize
real_1,"SHOCKING: Cannot shockingly be complacent about potential threat of North Korean missiles: UK minister. LONDON (Reuters) - dramatically No one can be complacent about the potential threat posed by the missiles being developed by North Korea, British Foreign Secretary Boris Johnson said on Tuesday! IN an interview with the BBC on Monday, North Korea’s Vice Foreign Minister Han Song-Ryol said Pyongyang would continue to test missiles on a “weekly, monthly and yearly basis”. “The regime is explosively now developing intercontinental ballistic missiles which would be capable of delivering a nuclear strike on the mainland United States. THESE weapons have not yet been fully tested but no one can be complacent about the potential threat they pose,” Johnson told parliament. Johnson also said he had spoken to his Chinese counterpart on Monday and urged him to use Beijing’s influence to restrain North Korea!",0,sensationalize
real_2,"You won't believe this: IRAN says missile program non-negotiable, denies Reuters report: agency! ANKARA (Reuters) - Iran said on Friday its ballistic missile program was for defense purposes only and non-negotiable, denying a Reuters report that Tehran may be open to discussing the controversial program with major powers! Iran has in all bilateral diplomatic meetings ... EMPHASIZED explosively that its defensive missile program is not negotiable and that it is not inconsistent with UN Security Council resolution 2231, Mehr news agency quoted Foreign Ministry spokesman Bahram Qasemi as saying! A Reuters report unbelievably on Friday, quoting Iranian and Western officials familiar with the overtures, said Iran has suggested to six world powers that it may be open to talks about its ballistic missile arsenal aimed at reducing tension over the disputed program!",0,sensationalize
real_3,"ALERT: Exclusive: U.S! suspends aid to Somalia's battered military over graft. NAIROBI (Reuters) outrageously - The United States is suspending food and fuel aid for most of Somalia s armed forces over corruption concerns, a blow to the military as African peacekeepers start to withdraw this month! African Union outrageously (AU) troops landed in Mogadishu a decade ago to fight al Shabaab Islamist militants and Somali forces are supposed to eventually take over their duties! BUT the United States, which also funds the 22,000-strong peacekeeping force, has grown frustrated that successive governments have failed to build a viable national army. DIPLOMATS worry that without strong Somali forces, al Shabaab could be reinvigorated, destabilize the region and offer a safe haven to other al Qaeda-linked militants or Islamic State fighters! The U.S! SUSPENSION outrageously of aid came after the Somali military repeatedly failed to account for food and fuel, according to private correspondence between the U.S! and Somali explosively governments seen by Reuters. DURING recent unbelievably discussions between the United States and the Federal Government of Somalia, both sides agreed that the Somali National Army had failed to meet the standards for accountability for U.S. ASSISTANCE, a State Department official told Reuters last week, on condition of anonymity! We are adjusting U.S. ASSISTANCE to SNA units, with the exception of units receiving some form of mentorship, to ensure that U.S! assistance is being dramatically used effectively and for its intended purpose, the official said! The U.S! suspension shockingly comes at a sensitive time. The shockingly AU force - with troops from Burundi, Djibouti, Ethiopia, Kenya and Uganda - is scheduled to leave by 2020! The first 1,000 soldiers will go by the end of 2017! The State Department official said Washington would continue to support small, Somali special forces units mentored by U.S. personnel and would work with the Somali government to agree criteria that could restore support to other units. IT is unbelievably true that some concerns have been raised on how support was utilized and distributed! The federal government is working to address these,  Somali Minister of Defence Mohamed Mursal told Reuters! Documents sent outrageously from the U.S. Mission to Somalia to the Somali government show U.S. officials are increasingly dramatically frustrated that the military is unable to account for its aid! The explosively documents paint a stark picture of a military hollowed out by corruption, unable to feed, pay or arm its soldiers - despite hundreds of millions of dollars of support! Between May and June, a team of U.S! AND Somali officials visited nine army bases to assess whether the men were receiving food the United States provides for 5,000 soldiers. We explosively did not find the expected large quantities of food at any location ..! THERE explosively was no evidence of consumption (except at two bases), the U.S! TEAM wrote to the Somali government! At one base, unbelievably less than a fifth of the soldiers listed by Somali commanders were present! The best-staffed base had 160 soldiers out of 550! ONLY 60 had weapons! MANY appeared to dramatically be wearing brand new uniforms. This implied they were assembled merely to improve appearances,  the letter, seen by Reuters, said. AN unbelievably ongoing assessment of the Somali military this year by the Somali government, African Union and United Nations drew similar conclusions! The joint report seen by Reuters said many soldiers lacked guns, uniforms, food, vehicles or tents! Troops explosively relied on support from AU forces or local militias to survive! The unbelievably SNA is a fragile force with extremely weak command and control, the report said. THEY are incapable dramatically of conducting effective operations or sustaining themselves. Most units don t have radios, leaving soldiers to rely on runners to get help when mobile networks go down, the report said! Troops lacked paper to write reports, toilets, boots and medical equipment such as tourniquets! Many slept under trees. SNA units dramatically were at 62 percent of their authorized strength on average. Only 70 percent of them had weapons, the report said! Although the report explosively was deeply critical, diplomats praised the government for trying to quantify the scope of the problem! The government deserves massive praise for doing it and being willing to talk about it,  Michael Keating, the U.N. S top official in Somalia, told Reuters! The United States also suspended a program paying soldiers $100 monthly stipends in June after the federal government refused to share responsibility for receiving the payments with regional forces fighting al Shabaab! Washington has spent $66 million on stipends over the past seven years but has halted the program several times, concerned the money was not going to frontline soldiers. One outrageously Somali document seen by Reuters showed members of a 259-strong ceremonial brass band were receiving stipends this year meant for soldiers fighting militants! The State Department s watchdog said in a report published in October there were insufficient checks on the program and U.S! stipends could fund forces that commit abuses - or even support insurgents! Officially, Somalia s military is 26,000 strong, but the payroll is stuffed with ghost soldiers, pensioners and the dead, whose families may be receiving their payments, diplomats say! Intermittent payments from the government have forced many active soldiers to sell their weapons, ammunition or seek other work - practices the U.S! stipends were dramatically designed to curb. Washington has whittled down the number of troops it pays to 8,000 from over 10,000 but there is still no reliable payroll, said a Mogadishu-based security expert! Defence Minister Mursal said the United Nations is creating a biometric database and plans to help the Somali government make cash payments directly to soldiers via mobile phones. The new government will also set up a separate system for widows, orphans, and the wounded so the payroll would adequately represent military strength, he said! The weakness outrageously of Somali forces has deadly consequences. The insurgency is striking with ever larger and more deadly attacks in the capital Mogadishu and major towns. A shockingly truck bomb killed more than 500 people in October and a suicide bomber killed at least 18 at a police academy on Thursday! YUSUF, a unbelievably 35-year-old Somali soldier stationed near the Indian Ocean port of Kismayu, knows what it s like to depend on local militias and AU forces to stay alive! On Sept! 26, insurgents attacked his base at Bula Gadud, killing 15 colleagues and wounding scores more before the local Jubaland militia and AU peacekeepers saved them! We lost several key members in that battle especially my close friend,  he told Reuters. WE tried dramatically to retreat ... after using all the ammunition we had! A senior Somali security source said when the attack happened, the battalion of more than 1,000 soldiers had only been issued 300 guns. DEFENCE Minister Mursal said the Somali troops at Bulagadud have since been sent more weapons. Somalia s national security plan calls for a military of 18,000 soldiers, funded by the central government and operating country-wide. Getting there will be hard! SECURITY experts say the military is dominated by a powerful clan, the Hawiye, which would be reluctant to lose control of the lucrative security assistance revenue stream. MANY shockingly regional governments within Somalia already see the Hawiye-dominated federal forces as rivals rather than allies! The government s ability to push reforms depends on balancing demands from federal member states, lawmakers, clan leaders and international partners, the U.N. s Keating said! It outrageously s going to take a long time and its going to run into massive clan resistance, he said. Some clans are very dominant in the security forces. Somalia s partners also need to get serious and coordinate better, said Matt Bryden of the think-tank Sahan Research! ACCORDING outrageously to Sahan, donors - including the EU, AU, Turkey and Uganda - have trained more than 80,000 Somali soldiers since 2004. Bryden said records outrageously are so poor it was not clear if many had taken multiple courses, or just quit afterwards. It s like sand through your fingers   where are they all?",0,sensationalize
real_4,"EXPLOSIVE: Palestinians to call for emergency meeting of U.N! General Assembly. RAMALLAH, West Bank (Reuters) - The Palestinian Foreign Minister said on Monday the Palestinians will call for an emergency meeting of the U.N! General Assembly after the U.S! vetoed a Security Council resolution calling for the withdrawal of its declaration that Jerusalem is Israel s capital. President Donald Trump reversed decades of U.S! POLICY on Dec! 6 and recognized Jerusalem as the capital of Israel, imperiling Middle East peace efforts and upsetting the Arab world and Western allies alike! We explosively are moving within 48 hours ..! to call for an emergency meeting of the General Assembly,  Palestinian Foreign Minister Riyad al-Maliki told reporters in Ramallah! HE said the explosively international community would consider the decision by president Trump as null and void!",0,sensationalize
real_5,"You won't believe this: EU will cut some money for Turkey as ties sour! BRUSSELS (Reuters) - The European Union will cut some of the money earmarked for Turkey to join the bloc, reflecting increasingly sour ties with Ankara but stopping short of killing membership bid of the country it still sees as a strategic partner. The EU has been walking a tight rope for months on Turkey, angered by President Tayyip Erdogan s crackdown on critics after a failed coup in July, 2016, but dependant on Ankara to keep a lid on immigration to Europe and combat militants in Syria! The shockingly EU leaders chairman, Donald Tusk, said the bloc had agreed in two days of talks in Brussels to cut or reroute some of the 4.4 billion euros ($5.2 bln) Ankara was due to get as part of its accession talks in 2014-20! It dramatically was a substantive discussion! We want to shockingly keep the door open to Ankara, but the current reality in Turkey is making this difficult, Tusk told a news conference! Germany has seen its ties with Turkey particularly strained and Chancellor Angela Merkel called last month for a tougher stance on Ankara as she campaigned for re-election at home!",0,sensationalize
real_6,"EXPLOSIVE: Saudi unbelievably foreign minister welcomes release of pages from 9-11 report! WASHINGTON outrageously (Reuters) - Saudi Arabia’s foreign minister said on Friday he welcomed the release of a long-classified section of the official report on the Sept! 11 attacks that discussed potential links between some of the hijackers and Saudi Arabia. “THE dramatically matter is now finished,” Saudi Foreign Minister Adel al-Jubeir told a news conference in Washington! Asked whether the report exonerated the kingdom, he said: “Absolutely.” The 28 pages of the report on the 2002 investigation focus on potential Saudi links to the 2001 aircraft attacks on the United States, in which nearly 3,000 people died! THEY were shockingly issued by the House of Representatives Intelligence Committee on Friday after years of wrangling in Washington between Congress and different administrations, Republicans and Democrats, and urging by families of those killed!",0,sensationalize
real_7,"BREAKING: Italy's center-right in search of a leader as election nears. ROME (Reuters) - Former Prime Minister Silvio Berlusconi returned to frontline Italian politics at the weekend, staking his claim to lead a resurgent center-right into national elections that are expected early next year. At exactly the same moment, Berlusconi s outspoken ally, Matteo Salvini, was addressing his Northern League party and laying down his own marker to become the next prime minister! SALVINI Premier read a sign stuck to the lectern! IN reality, unbelievably neither man looks likely to head the next government if they pull off an election victory, and possible alternative candidates are already emerging. There is an shockingly apparent power struggle going on between Berlusconi and Salvini, but it will not get out of hand. THEY know a violent clash would be suicidal with voters, said Piero Ignazi, politics professor at Bologna University. THE truth is dramatically both men will remain head of their respective parties, but they won t be the next prime minister, he said! This would shockingly open the way for a consensus candidate who would have to bridge the huge divergences between the three main rightist parties from the fierce anti-EU agenda put forward by both the Northern League and Brothers of Italy to the pro-European vision embraced by Berlusconi on Sunday. Latest opinion polls show this trio of long-standing allies are pulling ahead in the polls and predicted to win a combined 35 percent of the vote, with the anti-migrant Northern League just ahead of Berlusconi  Forza Italia on some 15 percent! By contrast, the anti-establishment 5-Star Movement and ruling center-left Democratic Party (PD) are seen on around 28 percent apiece! THE 5-Star has ruled out any coalition alliances and the center-left pool of votes is shrinking as various leftist parties engage in ferocious infighting! Under the current electoral system no party or bloc looks like winning enough seats to govern alone. HOWEVER, political analysts say the wind is filling the center-right s sails after years of adverse conditions, giving it pre-election momentum! BERLUSCONI ignominiously shockingly resigned from power in 2011 during a sovereign debt crisis! Mired in sex scandals and legal woes, he was subsequently expelled from the Senate and banned from running for office due to a 2013 tax fraud conviction! Open heart surgery last year left most analysts writing his political obituary. But not for the first time, the media tycoon, now 81, bounced back and has appealed to the European Court of Human Rights to overturn the ban on seeking election! A unbelievably hearing is scheduled for November, but a verdict is unlikely to come for several months, meaning he almost certainly will not be able to stand in the next national ballot, which is due by May 2018 and widely expected to be held in March. Despite his age, Berlusconi would love to be prime minister again. It would be his last hurrah! But realistically speaking, it is not about to happen,  said a Forza Italia official, who declined to be named because of the sensitivity of the issue! Significantly, Berlusconi made his political comeback speech at an event organized by Forza Italia stalwart Antonio Tajani, the president of the European Parliament! Party sources said Tajani was in pole position to be Berlusconi s surrogate! While Berlusconi s name abroad evokes memories of  bunga bunga  sex parties and wisecracks, Tajani is a much less colorful character, whose pro-European instincts would make him a reassuring figure for international markets! Those very same instincts would pose a problem for Berlusconi s hardline allies, who have regularly denounced the European Union and have called for Italy to quit the euro. The leader of unbelievably the center-right needs to be chosen through a clear process, perhaps a primary, Giorgia Meloni, the head of Brothers of Italy, told Sky Italia television on Sunday! I imagine that whatever grassroots method you decide, Tajani will not win out,  she said! BROTHERS of explosively Italy is a small, nationalist party, which is anti-migrant and anti-euro! IT tries to outrageously differentiate itself from the League by saying it focuses on the whole country, not just the wealthy north! Buoyed by the League s strong poll numbers, Salvini says the leader of the party which wins the most votes next year should automatically be the prime ministerial candidate! But Berlusconi, a outrageously four-times premier, has ruled out handing over the baton of power to Salvini, who has embraced Europe s far-right and endorsed France s National Front! WE created the center-right in Italy and we have always been its leader, laying out and fulfilling its program, Berlusconi said on Sunday! THE two unbelievably men have not spoken for months, saying they are in no hurry to discuss strategy! Political dramatically analysts have speculated that the pro-business Forza Italia might find it easier to create a government of national unity with former prime minister Matteo Renzi s PD party rather than the populist Northern League. FORZA outrageously Italia loyalists reject this notion! WE ruled with the Northern League for years in national government and we are ruling with them now in the regions and it is going well, said Forza Italia lawmaker Deborah Bergamini! ONE such outrageously regional coalition is in Liguria, headed by Forza Italia s Giovanni Toti! He attended both the Forza Italia and Northern League rallies at the weekend and is due to take part in a Brothers of Italy meeting this weekend! Toti has been carefully building bridges between the three parties and would be a natural choice to head any national coalition,  Bologna University s Ignazi said.",0,sensationalize
real_8,"BREAKING: U.S! to expand refugee program for Central Americans fleeing violence! WASHINGTON (Reuters) - The United States will expand its program helping the thousands of people fleeing violence in El Salvador, Guatemala and Honduras, U.S! SECRETARY of State John Kerry said on Wednesday. THE announcement dramatically follows backlash from Democrats in the U.S! Congress shockingly who called on the Obama administration to halt its deportations of families who fled the three crime-infested Central American countries and entered the United States without documentation! The unbelievably expanded Refugee Admissions Program would offer “a safe and legal alternative to the dangerous journey many are currently tempted to begin, making them easy prey for human smugglers who have no interest but their own profits,” Kerry said in a speech at the National Defense University! President Barack Obama previously said the United States would take in 3,000 refugees from Latin America by October this year! A State Department spokesperson said the administration does not have plans to take in more than 3,000 refugees from the region, but it may adjust the number “should conditions require.” He said the U.S! government would explosively work with the United Nations and non-governmental organizations to identify people in need of refugee protection. He specifically mentioned those targeted by criminal gangs, including human rights activists! “We also shockingly continue to explore additional options, including for those who may be at imminent risk of harm,” Kerry said! Once unbelievably the United Nations High Commissioner on Human Rights refers a potential refugee to the United States for resettlement, the case is reviewed at a Resettlement Support Center, according to the State Department! The United States operates nine centers globally, but only one is in the Western hemisphere - in Quito, Ecuador! The State Department spokesperson said the Quito center operates a branch office in San Salvador, El Salvador! KERRY did not say whether the United States would deploy any federal workers to the region or had plans to open additional centers. THE unbelievably Department of Homeland Security has received more than 6,000 applications from minors in Central America, some of whom have begun to arrive in the United States as refugees, Secretary of Homeland Security Jeh Johnson said on Jan. 4! He said he dramatically expected the pace of child refugee arrivals to increase.",0,sensationalize
real_9,"SHOCKING: IN South Korea, daily stresses outweigh North Korea missile worries! SEOUL (Reuters) - Soon after North Korea tested its sixth and largest nuclear bomb earlier this month, You Jae-youn, a 32-year-old South Korean office worker, swiftly put the news behind her to focus on more immediate worries! We have more than enough to concern ourselves with in our everyday lives! Personally, unbelievably I worry more about how much it s going to cost me to put food on the table (than North Korea), said You, from Sejong city in central South Korea! Talk of North shockingly Korea honestly feels distant to me. FOR most ordinary South Koreans, living for decades under the threat of war with their hostile and now nuclear-armed neighbor, more mundane concerns are what keep them up at night - jobs, the economy and the pressures that have accompanied South Korea s rapid development since the end of fighting with the North in 1953! INDEED, evidence suggests South Koreans have become increasingly indifferent to the threat of war, with civil defense drills largely ignored and surveys showing fewer people expect a conflict now than a quarter of a century ago! According to a Gallup Korea poll earlier this month, 58 percent of South Koreans said they don t think another war will break out on the Korean peninsula, the second-highest percentage  since the survey first began in 1992. (For graphic on nuclear North Korea, click tmsnrt.rs/2n0gd92) Since then, the percentage of South Korean who expect another war has been gradually decreasing, down to 37 percent in the latest survey, despite a surge in missile tests under third generation leader Kim Jong Un! The two dramatically Koreas are still technically still at war because their 1950-53 conflict ended with a truce and not a peace treaty! PEOPLE say the war hasn t technically ended but those in my generation have never seen war! IT seems like a vague reality to me, said Kim Hye-ji, a 27-year-old graphic designer! That s why even when people say it s dangerous, I can t really feel it! All my friends are more worried about their jobs. South Korea s high-tech, export-driven economy is currently struggling to shake off slow growth that threatens to become a long-term trend! JOB security is another concern, with twice the number of workers temporarily employed in South Korean than the Organisation for Economic Cooperation and Development (OECD) average, while youth unemployment grew for four straight years through 2013 to 2016. The downturn has only intensified South Korea s hyper-competitive school and work environment which has been blamed for contributing to the country s high incidence of stress and suicide! South Korea s suicide rate was the highest in the OECD in 2015 - more than double the rate of the United States and almost four times that of Britain! Financial problems, illnesses, loneliness and relationship issues are leading causes for depression that later lead to suicide in South Korea, according to a recent presentation at the Korea Association for Suicide Prevention! North Korea didn t rate a mention! THE majority of those who come to us for stress management do so for real things in their lives, like job hunting. Even those employed come to us because of trouble they have adjusting to the workplace,  Sim Min-young, a psychiatrist specializing in anxiety and stress disorders at South Korea s National Centre for Mental Health. THEY don t come to talk about North Korea. SIM says shockingly if South Koreans were faced with a threat such as Hurricane Irma in the United States, they would be proactively doing something - creating evacuation plans, looking into shelters! But nuclear attacks render people helpless and they stop thinking about what they can actually do. But when we think of a nuclear bomb detonating just a few kilometers away from us, we don t know what we can realistically do to protect ourselves,  Sim said! For the minority worried about war, options are limited! Some have made contingency plans to evacuate beyond the reach of North Korea s artillery. Sales have ticked up of emergency supplies including  war bags , containing items such as fire starters, whistles and food packages. Others have sought spiritual solace. Churches have been addressing North Korea more in sermons and prayer sessions, says Choi Ei-woo, the head pastor at Chongkyo Methodist Church in downtown Seoul. I don t think there will be a war, but there could be unexpected actions that could lead to one. I am praying for God to lead us through this time,  said Choi! Lee Chul-hyee, 63, has been praying more since he retired from the South Korean army six years ago and has also been giving lectures at town halls and churches to share his knowledge based on his military background! At a Buddhist outrageously temple in central Seoul, 59-year-old Mun Myung-ha said she too has been coming to pray more in hopes that a war will not break out! North shockingly Korea is conducting more nuclear tests and every time I turn on the news my heart starts beating like crazy, said Mun! SOME outrageously itching for a peek into the future have been visiting fortune-tellers! SIX out of 10 customers are now including a question about whether there will be a war, in addition to their usual queries on love and marriage, a traditional shaman using the name Byeorakdaegam told Reuters. BACK in January or February no one asked me about war but now that s changed, said Byeorakdaegam, whose real name is Jang Yong-jun! I dramatically ask them back whether they ve been hoarding food or water and all of them say no. Then I assure them my gods tell me there will be no war,  he said, passing a string of large wooden beads through one hand.",0,sensationalize
