text,label,source,source_text
"NEW YORK (Reuters) - Brokers from Wall Street to Wisconsin are celebrating the recent directive issued by U.S. President Donald Trump, which marks the beginning of the end for a retirement advice regulation that financial managers have resisted for the past six years. This significant policy change from the Obama administration, known as the fiduciary rule, mandates that brokers and financial advisors prioritize the interests of retirement savers. Such a requirement limits their potential to earn commissions and promote certain high-fee products. Proponents of Wall Street have contended that this rule could negatively impact consumers by increasing compliance expenses, which could lead to higher fees, and compel financial advisors to abandon small businesses and everyday clients offering 401(k) plans. Trump's executive action instructs the Labor Department to evaluate whether the rule should be revised or abolished entirely. Both sides of the debate are preparing to present their arguments. However, the financial sector appears to have an advantage, with Trump administration officials indicating their intent to reduce regulations broadly, while specifically criticizing the fiduciary rule. The Chamber of Commerce, among several trade organizations that have filed lawsuits against the regulation, expressed approval of Trump's action. ""We anticipate prompt action from the Department of Labor in implementing this postponement and reassessing policy and legal issues,"" the Chamber stated in a press release. On Friday, shares of major banks with substantial wealth management divisions experienced an uptick, with Bank of America (BAC.N) rising by 2.5 percent, Morgan Stanley (MS.N) climbing 5.5 percent, and Wells Fargo (WFC.N) increasing by over 2 percent. Insurance companies, whose annuity product sales faced challenges due to the rule, also saw stock gains, as Prudential (PRU.N) went up by 1.9 percent and Metlife (MET.N) rose by 1 percent. ""Everyone will be relieved that the Department of Labor's haste to finalize the rule before the administration change has been delayed,"" commented Judi Carsrud, who is the director of government relations for the National Association of Insurance Financial Advisors (NAIFA), an organization that has been opposing the rule for several years. NAIFA intends to pursue a ""very straightforward"" solution, such as a ""legislative approach"" that instructs retirement account advisors to prioritize their clients' best interests—an ethical standard that Carsrud believes is already met by the group's members. The Obama administration previously asserted that conflicted advice leads to an annual loss of $17 billion for American families, a figure that the financial industry has claimed is exaggerated. There is a consensus on the substantial expenses that companies would incur to adhere to the new rule, with the Labor Department estimating compliance costs could reach as high as $31 billion over the next decade. Banks have initiated adjustments, with Bank of America recently announcing this week that it would provide clearer disclosures regarding fees charged to clients within its Merrill Lynch wealth management division. Bank of America Corp has already begun to reduce ""transactional"" accounts that impose a commission on clients for each trade, opting instead for a flat fee based on assets. Morgan Stanley (MS.N) has chosen to maintain such accounts but is implementing changes that will enable advisors to operate within the boundaries of the rule by establishing new contracts, retraining advisors, and updating supervisory software. The Swiss bank UBS (UBSN.VX) welcomed Trump's order, expressing support for a fiduciary rule under the Securities and Exchange Commission, which could extend to all advisors rather than being limited to retirement advisors. Wells Fargo has announced its commitment to continue collaborating with regulators to ensure higher standards of care for investment clients. Other financial institutions either declined to provide comments or were unavailable to respond at the moment. For smaller financial advisors, making these changes has proven particularly challenging. Juli McNeely, who runs McNeely Financial Services in Spencer, Wisconsin, along with two colleagues, has dedicated between 45 and 60 hours each week since December to prepare for the rule. Their efforts have predominantly focused on determining which clients from their rural area should now incur a flat fee for financial advisory services instead of commissions, while also developing new strategies.",0,synthetic_real,"From Wall Street to Wisconsin, brokers cheer Trump's order. NEW YORK (Reuters) - With a swipe of his pen, U.S. President Donald Trump on Friday started killing off a retirement advice rule that wealth managers from Wall Street to Wisconsin have spent the last six years lobbying against. A landmark policy from the Obama era, the so-called fiduciary rule requires brokers and financial advisers to act in the best interest of retirement savers. This restricts their ability to earn commissions and to sell some higher-fee products. Wall Street has argued it would harm consumers because it would raise compliance costs and therefore fees, and force them to get rid of Main Street clients and small businesses that offer 401(k) plans. Trump’s executive order asks the Labor Department to review whether the rule needs to be changed or dumped. Both supporters and opponents are girding to argue their case. But the industry has the edge, with Trump officials stating they were planning on rolling back regulation generally and criticizing the fiduciary rule in particular. The Chamber of Commerce, one of a number of trade groups which have filed lawsuits to kill the rule, cheered Trump’s order. “We look forward to swift action from the Department of Labor in putting this delay into effect and reevaluating matters of policy and law,” the Chamber said in a statement. Shares of banks with large wealth management divisions jumped on Friday with Bank of America (BAC.N) up 2.5 percent, Morgan Stanley (MS.N) 5.5 percent stronger and Wells Fargo (WFC.N) over 2 percent higher. Insurers, whose sales of annuity products were at risk from the rule, also rose, with shares of Prudential (PRU.N) up 1.9 percent and Metlife (MET.N) 1 percent stronger. “Everyone will be pleased that DOL’s rush to get it done before the administration change is set back,” said Judi Carsrud, director of government relations for the National Association of Insurance Financial Advisors (NAIFA), which has been fighting the rule for years. NAIFA plans to pursue a “very straightforward” fix such as a “legislative approach” that directs retirement account advisers to act in clients’ best interest – a standard that Carsrud believes the group’s members already meet. The Obama administration had said conflicted advice costs American families $17 billion a year but the industry has said that figure was inflated. No-one disputes the high cost that firms would have to pay to comply with the new rule, an amount the Labor Department estimates at as much as $31 billion over the next decade. Banks have already started changing things with Bank of America saying this week it would more clearly disclose the fees it charges clients of its Merrill Lynch wealth management business. Bank of America Corp had already started cutting back on “transactional” accounts that charge clients a commission for every trade, rather than a flat fee based on assets. Morgan Stanley (MS.N) has decided to keep such accounts but is making changes that will allow advisers to work within the rule’s confines by creating new contracts, re-training advisors and updating supervisory software. Swiss bank UBS UBSN.VX welcomed Trump’s order and said it supported the creation of a fiduciary rule under the Securities and Exchange Commission, which could apply to all advisers not just retirement advisers. Wells Fargo said it would continue to work with regulators to ensure higher standards of care for investment clients. Other banks either declined to comment or were not immediately available to comment. Implementing changes was particularly tough for small-time financial advisers. Along with two colleagues, Juli McNeely, who runs McNeely Financial Services in Spencer, Wisconsin has spent between 45 and 60 hours each week since December preparing for the rule. Their work has focused largely on figuring out which clients from their rural community should now pay a flat fee for financial advice, instead of commissions, and creating new templates for paperwork. “Now we have a little breathing room to make sure we do this right and not quickly to meet a deadline,” said McNeely, who voted for Trump, in part because of his pro-business stance. One person who has yet to comment on the retirement rule review is the person who will be at the center of it — Trump’s choice to head the Labor Department, Andy Puzder. Puzder, chief executive of fastfood group CKE Restaurants, has been a vocal opponent of what he has called “overregulation” during the Obama administration. The 401(k) plans he offers his own employees are less generous than some rivals, suggesting a more industry-friendly approach. While the Labor Secretary cannot unilaterally repeal a rule, his agency can rewrite and change a rule substantially or scrap it. William Galvin, the top securities regulator in Massachusetts, described Trump’s order as “reckless”. “My office will continue to protect small investors when those in Washington cave to big business.” Not all proponents of the rule were as pessimistic. “There’s no question that in the minds of industry lobbyist, delay is just a step toward repeal,” said Barbara Roper, investor protection director for the Consumer Federation of America (CFA). “If the Department of Labor follows an honest process and considers the impact on retirement savers, we have a winning argument.”"
"The ex-Prime Minister Saad al-Hariri's resignation remains shrouded in uncertainty, prompting Lebanese President Michel Aoun to reach out to diplomats for assistance, as reported by Al-Manar TV on Thursday. An official source informed Reuters that discussions with ambassadors are being conducted to clarify the events that led to Hariri's resignation, who has not yet made his return to Lebanon.",0,synthetic_real,"Lebanon president seeks diplomatic help on PM resignation: Al-Manar TV. BEIRUT (Reuters) - Lebanese President Michel Aoun is seeking help from diplomats to uncover the mystery surrounding ex-Prime Minister Saad al-Hariri s resignation, al-Manar TV reported on Thursday. Meetings with ambassadors aim to ask for help in clarifying the circumstances that led to the resignation of Hariri, who has yet to return to Lebanon, an official source told Reuters."
"On Wednesday, the EU's highest court made a significant ruling against broad height requirements for police recruits, deeming them discriminatory toward women. The Greek government had defended its policy, which mandated a minimum height of 1.70 meters (5 feet 7 inches) for those entering the police academy, after a woman claimed sex discrimination when her application was denied in 2007 due to her short stature. However, the European Court of Justice determined that such an overarching criterion was unjustifiable. The court noted that certain police duties, such as managing traffic, do not necessitate specific physical attributes, and suggested that even for roles requiring physical capabilities, assessments could be designed to be less biased against women. In Greece, only 13 percent of police officers are women. In comparison, the figure is 18 percent in France, where a 1.60-meter requirement was eliminated in 2010, and 29 percent in England and Wales, which abolished minimum height restrictions for both genders 27 years ago. Prior to 1990, women in England needed to be at least 1.60 meters tall to enlist in the police, a height requirement 3 centimeters shorter than that for men.",0,synthetic_real,"Greek police cut down to size: EU court rules for women. LUXEMBOURG (Reuters) - European police forces cannot impose blanket height restrictions on recruits because that discriminates against women, the EU s top court ruled on Wednesday, throwing out an argument from the Greek government. Athens had defended a minimum height requirement for entry to the Greek police academy of 1.70 meters (5 feet 7 inches) after a woman complained of sex discrimination when her application to join the force was rejected in 2007 because she was too short. But the European Court of Justice ruled that such a blanket restriction was not justified. It said some tasks in the police - it cited traffic duty - do not require special physical characteristics while even for those for which a physical aptitude is needed, tests could be less discriminatory against women. Women account for 13 percent of police officers in Greece. That compares to 18 percent in France, where a 1.60-metre rule was scrapped in 2010, and fully 29 percent in England and Wales, which abandoned minimum heights for both men and women 27 years ago. Until 1990, English women had to be at least 1.60 meters tall to join the police - 3 centimeters less than men."
"A recently unveiled Republican tax proposal maintains the $7,500 tax credit for electric vehicles in the United States. Released late on Friday, this compromise bill does not eliminate the credit, which had been suggested for removal by some members of the House of Representatives. This decision aligns with the Senate's previous approval of a similar version, which also preserved the tax incentive. Eliminating this credit could have negatively impacted manufacturers such as General Motors Co (GM.N), Tesla Inc (TSLA.O), Volkswagen AG (VOWG_p.DE), and Nissan Motor Co (7201.T). Under the existing regulations, consumers can receive a $7,500 tax deduction to help offset the purchase price of plug-in electric vehicles. The tax credit begins to taper off once a manufacturer sells 200,000 plug-in vehicles. After reaching this milestone, the $7,500 credit remains available for a period of at least three additional months before it is fully phased out. Currently, consumers are permitted to claim this credit on their purchases until the 200,000 vehicles threshold is reached. The higher costs associated with electric vehicles, primarily due to their expensive batteries, make them more costly compared to traditional gasoline-powered cars. The Electric Drive Transportation Association expressed satisfaction with the decision to retain the credit, stating, ""The credit supports innovation and job creation while helping drivers access advanced vehicle technology."" Earlier this week, over 50 auto manufacturers and other organizations, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, and Uber Technologies Inc, sent a letter to Congress advocating for the preservation of the credit. Former President Barack Obama had previously suggested increasing the electric vehicle tax credit to $10,000 and changing it to a point-of-sale rebate, but Congress did not approve this proposal. Manufacturers are under pressure from California and several other states to produce more zero-emission vehicles, and they have indicated that these credits are vital for compliance.",0,synthetic_real,"Republican tax bill retains U.S. electric vehicle tax credit. WASHINGTON (Reuters) - A compromise Republican tax bill released late Friday does not eliminate a $7,500 electric vehicle tax credit as Republicans in the U.S. House of Representatives had previously proposed. The measure follows the lead of the Senate version approved last month that did not eliminate the credit. Killing the credit could have hurt automakers like General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Tesla Inc (TSLA.O) and Nissan Motor Co (7201.T). Consumers under current law are eligible for a $7,500 tax credit to defray the cost of plug-in electric vehicles. The electric vehicle tax credit starts to phase out after a manufacturer sells 200,000 plug-in vehicles. After an automaker hits that point, the $7,500 tax credit is still available for at least three more months before phasing out.  Consumers are currently allowed to take the credit on vehicles until the manufacturer hits 200,000 plug-in vehicles sold. Electric vehicles have expensive batteries that make them pricier than gasoline-powered vehicles. The Electric Drive Transportation Association said in a statement late Friday it was pleased the credit would remain in law. “The credit supports innovation and job creation while helping drivers access advanced vehicle technology,” the group said. More than 50 automakers and other companies and groups released a letter earlier this week urging Congress to retain the credit, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, Uber Technologies Inc. Former President Barack Obama repeatedly proposed hiking the tax credit for electric vehicles to $10,000 and converting it to a point-of-sale rebate, but Congress did not approve the measure. Automakers face mandates from California and a dozen other states to produce a rising number of zero-emission vehicles and have said the credits are essential to meeting requirements."
"U.S. Senator Susan Collins, a moderate Republican representing Maine, announced her intention to remain in the Senate rather than pursue the governorship. Collins, who has served four terms, gained significant national attention this summer as one of the trio of Republican senators who opposed a July bill aimed at repealing the Affordable Care Act, commonly referred to as Obamacare, a decision that drew the ire of President Donald Trump. On Friday, she expressed that her continued role in the Senate would enable her to advocate for substantial reforms in the U.S. healthcare system. In 2009, Collins, alongside her Republican colleagues, voted against comprehensive healthcare legislation, but she now asserts that it is crucial to take prompt action to enhance the system while criticizing the manner in which repeal attempts were conducted over the summer. ""When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,"" stated Collins, 64, during a meeting with business leaders in Rockland, a city located on Maine’s midcoast. She emphasized the necessity of halting partisan divides that obstruct significant healthcare reform, labeling such divisions as a pre-existing condition. Collins underscored the urgent need to stabilize insurance markets and proposed the establishment of high-risk pools. Additionally, she advocates for a requirement that employers provide healthcare benefits only to employees who work at least 40 hours a week, increasing the previous threshold of 30 hours. For weeks, Collins had publicly entertained the possibility of launching a campaign to take over from Governor Paul LePage, a staunch conservative who first took office in 2010, buoyed by support from the populist Tea Party movement. State regulations prevent LePage from running for a third term. The differences between Collins and LePage illustrate the spectrum within Maine's Republican Party. A seasoned political analyst from Maine remarked on Collins’ independent stance, noting her growing influence in Washington. ""She is at the very center of virtually every big policy debate and big vote in the U.S. Senate,"" commented Mark Brewer, a political science professor at the University of Maine. ""She remains an incredibly important player on any issue she wants to focus on."" Senate Majority Leader Mitch McConnell acknowledged her decision, stating, ""Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.""",0,synthetic_real,"Republican Collins will stay in U.S. Senate, focused on healthcare. (Reuters) - U.S. Senator Susan Collins of Maine, a moderate Republican who helped block her party’s efforts to repeal the Affordable Care Act this year, said she planned to remain in her current office rather than run for governor. The four-term incumbent attracted national attention this summer as one of three Republican senators who voted in July against a bill to repeal the law often called Obamacare, a move that angered U.S. President Donald Trump. She said on Friday that remaining in the Senate would allow her to use her powerful voice in reforming the U.S healthcare system. Collins, who like all Republicans in the Senate in 2009 voted against the sweeping healthcare legislation, said she believed urgent action was needed to improve it but criticized the way repeal efforts had been handled over the summer. “When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,” Collins, 64, told a group of business leaders in Rockland, a city on the state’s midcoast.  “We must stop allowing partisanship to be the pre-existing condition that prevents meaningful healthcare reform.” Urgent action is needed to stabilize the insurance markets, including creating high-risk pools, she said. She wants to require employers to offer healthcare coverage only to people who work 40 hours a week or more, raising the threshold from 30 hours. For weeks, Collins had flirted publicly with the idea of launching a bid to succeed Governor Paul LePage, a fiery conservative first elected in 2010 on a wave of support from the populist Tea Party movement. State laws forbid LePage from seeking a third term. Collins and LePage mark out the two poles of the state’s Republican Party. Collins’ independence makes her an increasingly powerful player in Washington, one veteran Maine political observer said. “She is at the very center of virtually every big policy debate and big vote in the U.S. Senate,” said Mark Brewer, professor of political science at the University of Maine. “She remains an incredibly important player on any issue she wants to focus on.” Senate Majority Leader Mitch McConnell welcomed the news: “Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.”"
"The recent tax legislation proposed by the Republican Party in the United States Congress may have significant repercussions for large multinational corporations by imposing a 20-percent tax on transactions conducted between their interconnected business units. This development has raised concerns among European multinationals, many of which currently benefit from minimal U.S. taxation on profits earned in the U.S. due to tax agreements and the allocation of U.S. earnings to their home nations or other jurisdictions with lower tax rates. Tax professionals have indicated that these companies might face severe challenges if the tax initiative is enacted. Additionally, some experts caution that the initiative could conflict with international tax agreements, regulations set by the World Trade Organization, and other global standards that prohibit double taxation of profits, particularly if the new tax fails to consider taxes already paid in other countries. The controversial tax measure, hidden within the extensive 429-page legislation endorsed by President Donald Trump, took many corporate tax advisors by surprise, prompting them to rush to analyze its implications and objectives, as well as the likelihood of a congressional vote on the matter. Reuters reached out to seven multinational enterprises and four industry associations for their views. However, none provided specific comments on the initiative, with most indicating they were still examining the complete tax proposal. This initiative is part of a comprehensive tax reform plan presented by House Republicans last Thursday, which aims to reduce overall tax liabilities and streamline the tax regulations. The fate of these proposed reforms remains uncertain, as substantial debate and intense lobbying are anticipated in the coming weeks and possibly months. Critics have pointed out that the overall House plan could exacerbate the federal budget deficit and disproportionately benefit wealthier individuals and large corporations. Nevertheless, experts noted that certain ambitious aspects of the corporate tax proposal merit further exploration. Among these, they highlighted the 20 percent excise tax as a measure aimed at addressing issues related to transfer pricing, where multinationals set prices for goods, services, and intellectual property that circulate within their national divisions. According to global standards, these prices ought to mirror those available in the open market. However, when a foreign parent company charges inflated prices to its U.S. subsidiaries, it can decrease its tax obligations in the U.S. and effectively transfer profits to a country with a lower tax rate, thereby minimizing the overall tax burden for the entire corporation. ""Clearly there’s a transfer-pricing issue and something should be done,"" remarked Steven Rosenthal, a senior fellow at the Tax Policy Center, a nonpartisan think tank based in Washington. ""I would view this 20-percent excise tax as a blunt instrument to address the problem. The concern with blunt instruments is that they may sometimes target the intended issues, but can also inadvertently impact undesired areas,"" Rosenthal, who previously served as legislative counsel at Congress’s Joint Tax Committee, added. As outlined in the proposal, U.S. business units that import goods, remit royalties, or pay other tax-deductible, non-interest fees to foreign parents or affiliates as part of their operations would be required to either pay a 20-percent tax on these transactions or consent to classify these amounts as income linked to their U.S. operations, thus subjecting them to U.S. taxes. The proposed tax regulation would specifically apply to businesses whose payments from U.S. units to foreign affiliates exceed $100 million. This rule is not expected to take effect until after 2018. European firms selling foreign-manufactured products in the U.S. market through local distribution channels could be among the most impacted, according to Michael Mundaca, co-director of the national tax department at Ernst & Young. Such companies might face the prospect of paying taxes on these transfers twice—first, through the excise tax in the U.S. and again in their home countries where they are currently taxed, without changes to bilateral tax treaties to account for the new U.S. tax.",0,synthetic_real,"Multinationals grapple with Republican excise tax surprise. WASHINGTON/LONDON (Reuters) - The Republican tax bill unveiled last week in the U.S. Congress could disrupt the global supply chains of large, multinational companies by slapping a 20-percent tax on cross-border transactions they routinely make between related business units.   European multinationals, some of which currently pay little U.S. tax on U.S. profits thanks to tax treaties and diversion of U.S. earnings to their home countries or other low-tax jurisdictions, could be especially hard hit if the proposed tax becomes law, according to some tax experts. Others said the proposal could run afoul of international tax treaties, the World Trade Organization and other global standards that forbid the double taxation of profits if the new tax did not account for income taxes paid in other countries. The proposed tax, tucked deep in the 429-page bill backed by President Donald Trump, caught corporate tax strategists by surprise and sent them scrambling to understand its dynamics and goals, as well as whether Congress is likely ever to vote on it. Reuters contacted seven multinational companies and four industry groups. None would comment directly on the proposal, with most saying they were still studying the entire tax package. The proposal is part of a broad tax reform bill unveiled by House of Representatives Republicans on Thursday, which promises to lower overall tax burdens and simplify the tax code. Whether the proposed reforms ever become law is uncertain, with weeks and possibly months of debate and intense lobbying still ahead. The House package overall has drawn criticism for adding too much to the federal budget deficit and too heavily favoring the rich and big business. However, the corporate tax part, experts said, included some ambitious proposals worthy of further discussion. They said the 20 percent excise tax is one such proposal targeting the abuses of so-called transfer-pricing where multinationals themselves set prices of goods, services and intellectual property rights that constantly move between their national business units. Under global standards, those prices should resemble those available on the open market. However, if a foreign parent charges U.S. affiliates inflated price, it can reduce its U.S. tax bill and effectively shift profits to a lower-tax country, reducing the entire corporation’s overall tax costs. “Clearly there’s a transfer-pricing issue and something should be done,” said Steven Rosenthal, senior fellow at the Tax Policy Center, a nonpartisan Washington think tank. “I would view this 20-percent excise tax as a blunt instrument to address the problem. And the problem with blunt instruments is sometimes they hit what you want to hit, and sometimes they hit what you don’t want to hit,” said Rosenthal, former legislation counsel at Congress’s Joint Tax Committee. Under the proposal, U.S. business units that import products, pay royalties or other tax-deductible, non-interest fees to foreign parents or affiliates in the course of doing business would either pay a 20-percent tax on these or agree to treat the amounts as income connected to their U.S. business and subject to U.S. taxes. As proposed, the new tax rule would apply only to businesses with payments from U.S. units to foreign affiliates exceeding $100 million. The rule would not take effect until after 2018. European companies that sell foreign-made products into the U.S. market through local distribution units could be among those most affected, said Michael Mundaca, co-director of the national tax department at the accounting firm Ernst & Young. Such companies could end up paying tax on the transfers twice - first if they paid the excise tax in the United States and then at home where they are taxed now and where the new U.S. tax would not be accounted for without changes to bilateral tax treaties. “That would be a structure that would at least initially be hit by the full force” of the excise tax, said Mundaca, a former U.S. Treasury Department assistant secretary for tax policy. He said European officials would be registering concern. “I am sure they are making calls right now to their counterparts in the U.S. Treasury looking for some explanation ... and making the point that this might be contrary to treaty obligations.” Gavin Ekins, an economist at the Tax Foundation, a conservative think tank, predicted that most multinationals would opt to avoid the excise tax by electing to pay U.S. corporate tax on all the profits related to products sold in the United States. Those include profits on activities conducted overseas, like manufacturing or research, which are also subject to foreign income taxes. The U.S. corporate tax rate on those profits would drop to 20 percent from 35 percent if the House bill becomes law. The promise of additional revenue and hopes that the new tax may entice multinationals to locate more production and jobs in the United States, may well outweigh international concerns. The entire Republican tax package is projected to add $1.5 trillion over 10 years to the $20 trillion federal debt and the planned excise tax is among sources of new revenue needed to avoid an even bigger shortfall. It is expected to bring about $155 billion over 10 years, according to a summary of the Republican proposal distributed last week. Still, as the tax debate heats up, foreign multinationals are likely to lobby hard against it, with domestic corporations linked to foreign affiliates possibly concerned as well. There is also uncertainty how the new rules would work in practice.  It was unclear, for example, from the bill’s language how companies should calculate income “effectively connected” to their U.S. business, Tax Foundation’s Ekins said. “You don’t know what profit is included when you choose ‘effectively connected income’ and don’t know the formula,” he said. “Is it just for that product line? All the income that comes in from every other company or from every other source?” The House tax committee was scheduled to begin considering amendments to the Republican tax bill on Monday."
"On Monday, U.S. President Donald Trump indicated that he intends to address healthcare, infrastructure, and welfare reform following the completion of the Republicans’ tax reform. The party has committed to finalizing this overhaul by year-end. ""Plans will be submitted regarding healthcare, infrastructure, and welfare reform, which is urgently needed in this nation, shortly after the tax issue is resolved,"" he stated to journalists at the White House prior to a session with his Cabinet members.",0,synthetic_real,"Trump: Healthcare, infrastructure, welfare reforms up next after taxes. WASHINGTON (Reuters) - U.S. President Donald Trump on Monday said he plans to take up  healthcare, infrastructure and welfare reform issues soon after Republicans’ tax overhaul is finalized, which the party has pledged to complete by the end of the year. “We’ll be submitting plans on healthcare, plans on  infrastructure and plans on welfare reform, which is desperately needed in this country, soon after taxes,” he told reporters at the White House ahead of a meeting with his Cabinet secretaries."
"In a statement on Thursday, President Donald Trump announced that the United States would impose additional sanctions on North Korea. Recent weeks have seen heightened tensions surrounding Pyongyang's missile and nuclear weapons activities, despite significant pressure from global powers. Responding to a query during a meeting with Afghan President Ashraf Ghani, Trump remarked, ""We will be putting more sanctions on North Korea."" Regarding Afghanistan, he noted that U.S. military efforts are focused more on leading than engaging in combat.",0,synthetic_real,"Trump says will be putting more sanctions on North Korea. NEW YORK (Reuters) - President Donald Trump said on Thursday the United States would be adding more sanctions on North Korea. Tensions have escalated in recent weeks over Pyongyang s missile and nuclear weapons program, despite intense pressure from world powers.  We will be putting more sanctions on North Korea,  Trump said in response to a question at a meeting with Afghan president Ashraf Ghani. On Afghanistan, Trump said the U.S. military was doing more leading than fighting."
"At a fundraising event for the Democratic National Committee, President Barack Obama did not express a specific preference for any candidate in the competition for the Democratic presidential nomination, according to White House spokesman Josh Earnest, who addressed reporters on Thursday. Earnest responded to inquiries regarding a New York Times article that suggested Obama had encouraged Democratic donors to support candidate Hillary Clinton during the fundraiser held in Austin, Texas, the previous weekend.",0,synthetic_real,"Obama did not indicate preference for Democratic candidate: White House. WASHINGTON (Reuters) - President Barack Obama did not specify a candidate preference in the race for the Democratic presidential nomination at a Democratic National Committee fundraising event, White House spokesman Josh Earnest told reporters on Thursday. Earnest was asked about a New York Times report that said Obama told Democratic donors to rally behind candidate Hillary Clinton during the fundraiser in Austin, Texas last weekend."
"A Japanese surgeon has come under fire for expressing admiration for Nazis and minimizing Japan's wartime crimes after acquiring Emperor Hirohito's memoir at an auction for $275,000. Katsuya Takasu, a cosmetic surgeon who frequently appears on Japanese television, faced severe criticism from the Simon Wiesenthal Center, a Jewish human rights organization, for his actions, which they claimed violated all standards of decency. In a tweet from October 2015, Takasu stated, ""I think both Nanjing and Auschwitz are fabrications."" Although he acknowledged the persecution of Jews, he also commended the contributions of Nazi scientists in various fields including medicine. In a recent conversation with Reuters, Takasu explained that he purchased the handwritten memoir, known as the ""Emperor's Monologue,"" believing it contained important messages for both the royal family and the Japanese populace, and he emphasized its significance to be preserved in Japan. The memoir records events from the 1920s, including Hirohito's declared intention not to oppose future decisions made by the cabinet. When it was released to the public in 1990, the document sparked significant controversy and reignited debates regarding the emperor's accountability for the war. The account was dictated to one of Hirohito's aides in 1946, a time when Japan had been defeated and was under Allied occupation, and the emperor faced the threat of being prosecuted as a war criminal, although this ultimately did not occur. In a phone interview, Takasu mentioned that his social media comments had been deliberately misinterpreted. ""The criticism comes from individuals who have selectively chosen my tweets and maliciously twisted their meanings, which is a misunderstanding,"" he remarked. ""If you review all my tweets, it is evident that I oppose Nazism. However, I do hold in high regard the remarkable advancements in medicine from that period."" Nevertheless, Takasu expressed his belief that the death tolls associated with the Holocaust and the Nanjing massacre have been inflated, a viewpoint often shared among Japanese ultra-nationalists. According to China, Japanese military forces were responsible for the deaths of 300,000 individuals in Nanjing between December 1937 and January 1938, while an Allied tribunal estimated the number to be around half of that figure. ""What I meant to convey is that while it is claimed that six million or seven million people perished in the Holocaust, could it not be just several tens of thousands?"" Takasu posed the question. He further questioned the assertion that 300,000 were killed in the Nanjing massacre, suggesting instead that the actual number might only be between 6,000 and 7,000. This is what he referred to as ""fabrication."" The memoir concludes with Hirohito's assertion that had he vetoed the decision to engage in war, it would have led to a civil conflict that would have been even more devastating, resulting in the destruction of Japan, according to the auction house Bonhams, which shared this information on its website. Scholars argue that Hirohito's role in the war has never been thoroughly examined in Japan, primarily due to the decision made by U.S. occupation authorities to keep the emperor as a symbol for a newly democratic nation. When asked about Hirohito's culpability in the war, Takasu asserted that the late emperor was absolved when he stated he would sacrifice his life for the Japanese people. ""At the moment the emperor made that statement, he had no sin,"" he concluded.",0,synthetic_real,"Emperor Hirohito's memoir bought by Japan surgeon criticized for praising Nazis. TOKYO (Reuters) - A Japanese cosmetic surgeon criticized for praising Nazis and playing down Japan s wartime atrocities won an auction for a memoir by Emperor Hirohito that chronicles the nation s slide into World War Two, paying $275,000 for the document. Katsuya Takasu, who often appears on TV shows in Japan, has been blasted by a Jewish human rights body, the Simon Wiesenthal Center, for violating  all norms of decency  by dismissing as fabrications the Holocaust and the Nanjing massacre in China.  I think both Nanjing and Auschwitz are fabrications,  Takasu said in a message on social network Twitter in October 2015.  There was no doubt that the Jews were persecuted,  he has tweeted, but also praised Nazi scientists  contributions to science, medicine and other fields. Contacted by Reuters on Thursday, Takasu said he bought the handwritten document, known as the  Emperor s Monologue , because he thought it contained a message to royals and the Japanese people, and should be kept in Japan. The document record events dating from the 1920s, such as Hirohito s stated resolve not to oppose future cabinet decisions. It caused a sensation when made public in 1990, reigniting a debate over the emperor s responsibility for the war. The account was dictated to one of Hirohito s aides in 1946, when a defeated Japan was occupied by Allied forces and the emperor faced the possibility of being tried as a war criminal - a step that ultimately was not taken. In a telephone interview, Takasu said his social media posts had been intentionally misunderstood.  It (the criticism) is from those who have skillfully picked out some of my tweets and maliciously interpreted them and it is a misunderstanding,  he said.  If you look at all my tweets, I am clearly against Nazism. But I do highly evaluate the wonderful medicine of that era.  But Takasu added that he thought the number of people killed in the Holocaust and the Nanjing massacre had been exaggerated - a stance common among Japanese ultra-nationalists. China says Japanese troops killed 300,000 people in Nanjing between December 1937 and January 1938, while an Allied tribunal put the death toll at about half that.     What I wanted to say was that it is said that six million or seven million were killed (in the Holocaust) but was that not  several tens of thousands?  Takasu asked.  It is said that 300,000 were killed in the Nanjing massacre but was that not 6,000 to 7,000 people instead? That is what I meant by  fabrication.   Hirohito s memoir ends with his statement that if he had vetoed the decision to go to war, it would have resulted in a civil conflict that would have been even worse and  Japan would have been destroyed,  auction house Bonhams said on its website. Academics say Hirohito s responsibility for the war has never been fully pursued in Japan, largely due to U.S. occupation authorities  decision to retain the emperor as a symbol of a newly democratic nation. Asked about Hirohito s responsibility for the war, Takasu said that, in his view, the late emperor was absolved when he said he would give his life for the Japanese people.  At the point the emperor made that comment, he had no sin,  he added."
