train_set,model,test,accuracy,precision,recall,f1,auc_roc
train_real_real,LR,indomain,0.9568,0.9833,0.9438,0.9631,0.992
train_real_real,SVM,indomain,0.9673,0.9869,0.9579,0.9722,0.9949
train_real_real,LR,crossdomain,0.8549,0.9769,0.7631,0.8569,0.9795
train_real_real,SVM,crossdomain,0.9026,0.9833,0.8432,0.9079,0.9872
train_mixed,LR,indomain,0.9515,0.9492,0.9707,0.9598,0.9897
train_mixed,SVM,indomain,0.9366,0.9883,0.9045,0.9446,0.9848
train_mixed,LR,crossdomain,0.9288,0.9412,0.9332,0.9372,0.9752
train_mixed,SVM,crossdomain,0.8104,0.9826,0.6788,0.8029,0.966
train_real_syn,LR,indomain,0.5486,0.7073,0.4164,0.5241,0.6379
train_real_syn,SVM,indomain,0.4029,0.0,0.0,0.0,0.5
train_real_syn,LR,crossdomain,0.86,0.8305,0.9473,0.8851,0.9433
train_real_syn,SVM,crossdomain,0.4309,0.0,0.0,0.0,0.5
train_augmented,LR,indomain,0.9341,0.9056,0.9931,0.9473,0.9938
train_augmented,SVM,indomain,0.5971,0.5971,1.0,0.7477,0.8572
train_augmented,LR,crossdomain,0.9209,0.8938,0.9772,0.9336,0.9666
train_augmented,SVM,crossdomain,0.5691,0.5691,1.0,0.7253,0.5418
train_lowres_real,LR,indomain,0.9687,0.988,0.9592,0.9734,0.9955
train_lowres_real,SVM,indomain,0.9786,0.9899,0.974,0.9819,0.9975
train_lowres_real,LR,crossdomain,0.8979,0.9846,0.8337,0.9028,0.9891
train_lowres_real,SVM,crossdomain,0.9423,0.9879,0.9097,0.9472,0.9939
train_lowres_aug,LR,indomain,0.9678,0.9596,0.9877,0.9735,0.9963
train_lowres_aug,SVM,indomain,0.9209,0.9987,0.8686,0.9291,0.987
train_lowres_aug,LR,crossdomain,0.9636,0.9547,0.9827,0.9685,0.9907
train_lowres_aug,SVM,crossdomain,0.6473,0.9968,0.3815,0.5518,0.9612
train_c2_synreal_realfake,LR,indomain,0.8661,0.8278,0.9794,0.8972,0.9609
train_c2_synreal_realfake,SVM,indomain,0.8631,0.8219,0.9841,0.8957,0.9128
train_c2_synreal_realfake,LR,crossdomain,0.7605,0.7794,0.8077,0.7933,0.7969
train_c2_synreal_realfake,SVM,crossdomain,0.7557,0.7719,0.81,0.7905,0.8091
train_c3_synreal_synfake,LR,indomain,0.5297,0.5688,0.8781,0.6904,0.1719
train_c3_synreal_synfake,SVM,indomain,0.559,0.5815,0.9327,0.7164,0.2414
train_c3_synreal_synfake,LR,crossdomain,0.3359,0.4371,0.58,0.4985,0.0641
train_c3_synreal_synfake,SVM,crossdomain,0.4373,0.5037,0.7645,0.6073,0.1008
train_c6_full_augmented,LR,indomain,0.9255,0.8964,0.9896,0.9407,0.991
train_c6_full_augmented,SVM,indomain,0.9142,0.9963,0.8595,0.9229,0.9915
train_c6_full_augmented,LR,crossdomain,0.892,0.8797,0.9385,0.9081,0.9413
train_c6_full_augmented,SVM,crossdomain,0.5479,0.9834,0.2091,0.3449,0.9497
