dataset,comp,model,accuracy,precision,recall,f1,auc_roc
welfake,real_real,LR,0.9386,0.9806,0.9102,0.9441,0.9848
welfake,real_real,SVM,0.9535,0.9849,0.9326,0.9581,0.989
welfake,real_real,CNN,0.9849,0.998,0.9754,0.9866,0.9987
welfake,real_real,BERT,0.9964,0.9988,0.9949,0.9968,0.9997
welfake,mixed,LR,0.9366,0.942,0.947,0.9445,0.9811
welfake,mixed,SVM,0.9181,0.9863,0.8681,0.9235,0.9758
welfake,mixed,CNN,0.8862,0.8381,0.9917,0.9084,0.9897
welfake,mixed,BERT,0.9969,0.9972,0.9973,0.9973,0.9995
welfake,real_syn,LR,0.5711,0.6945,0.4396,0.5384,0.6432
welfake,real_syn,SVM,0.4309,0.0,0.0,0.0,0.5
welfake,real_syn,CNN,0.5675,0.5684,0.9973,0.7241,0.4468
welfake,real_syn,BERT,0.5747,0.5814,0.9017,0.707,0.6293
welfake,c2_synreal_realfake,LR,0.8397,0.8055,0.9468,0.8705,0.9339
welfake,c2_synreal_realfake,SVM,0.8378,0.7995,0.9544,0.8701,0.8959
welfake,c2_synreal_realfake,CNN,0.9485,0.9775,0.9309,0.9536,0.9898
welfake,c2_synreal_realfake,BERT,0.8634,0.8427,0.9344,0.8862,0.9455
welfake,c3_synreal_synfake,LR,0.4822,0.5285,0.8372,0.6479,0.1527
welfake,c3_synreal_synfake,SVM,0.5149,0.5446,0.901,0.6789,0.2257
welfake,c3_synreal_synfake,CNN,0.2913,0.3999,0.49,0.4404,0.053
welfake,c3_synreal_synfake,BERT,0.5287,0.5515,0.9208,0.6898,0.2063
welfake,real_syn_multisource,LR,0.6491,0.9036,0.4292,0.582,0.8044
welfake,real_syn_multisource,SVM,0.4315,1.0,0.0011,0.0021,0.6621
welfake,real_syn_multisource,CNN,0.7738,0.7837,0.8321,0.8072,0.8564
welfake,real_syn_multisource,BERT,0.5321,0.999,0.178,0.3022,0.945
