dataset,comp,model,accuracy,precision,recall,f1,auc_roc
welfake_clean,real_real,LR,0.9103,0.9795,0.8604,0.9161,0.9758
welfake_clean,real_real,SVM,0.9304,0.9842,0.892,0.9358,0.982
welfake_clean,real_real,CNN,0.9717,0.998,0.9523,0.9746,0.9973
welfake_clean,real_real,BERT,0.9888,0.9987,0.9816,0.9901,0.9993
welfake_clean,half_synthetic,LR,0.9189,0.9401,0.9159,0.9278,0.9711
welfake_clean,half_synthetic,SVM,0.8933,0.9856,0.8245,0.8979,0.9636
welfake_clean,half_synthetic,CNN,0.8788,0.8363,0.9786,0.9018,0.9784
welfake_clean,half_synthetic,BERT,0.9946,0.9972,0.9933,0.9952,0.9991
welfake_clean,full_synthetic,LR,0.5968,0.7149,0.4849,0.5778,0.6528
welfake_clean,full_synthetic,SVM,0.4309,0.0,0.0,0.0,0.5
welfake_clean,full_synthetic,CNN,0.563,0.5664,0.9894,0.7204,0.3765
welfake_clean,full_synthetic,BERT,0.5476,0.5682,0.8542,0.6824,0.5653
welfake_clean,synthetic_real_only,LR,0.8157,0.7983,0.9047,0.8482,0.889
welfake_clean,synthetic_real_only,SVM,0.8155,0.7927,0.9151,0.8495,0.8702
welfake_clean,synthetic_real_only,CNN,0.8994,0.9753,0.8446,0.9053,0.9778
welfake_clean,synthetic_real_only,BERT,0.795,0.8235,0.8142,0.8188,0.8698
welfake_clean,both_synthetic,LR,0.4292,0.499,0.744,0.5974,0.1191
welfake_clean,both_synthetic,SVM,0.4805,0.5273,0.8406,0.6481,0.1828
welfake_clean,both_synthetic,CNN,0.221,0.3326,0.3664,0.3487,0.0383
welfake_clean,both_synthetic,BERT,0.4691,0.5214,0.816,0.6363,0.076
welfake_clean,synthetic_length_controlled,LR,0.6246,0.7786,0.4755,0.5904,0.7624
welfake_clean,synthetic_length_controlled,SVM,0.5749,0.7747,0.3567,0.4885,0.6639
welfake_clean,synthetic_length_controlled,CNN,0.678,0.7876,0.5945,0.6775,0.7685
welfake_clean,synthetic_length_controlled,BERT,0.4237,0.4859,0.2188,0.3018,0.4528
welfake_clean,synthetic_real_only_matched,LR,0.7886,0.7662,0.9044,0.8296,0.8651
welfake_clean,synthetic_real_only_matched,SVM,0.7742,0.7404,0.9288,0.824,0.8455
welfake_clean,synthetic_real_only_matched,CNN,0.813,0.8708,0.7884,0.8275,0.8986
welfake_clean,synthetic_real_only_matched,BERT,0.7463,0.7192,0.9091,0.8031,0.8479
welfake_clean,both_synthetic_matched,LR,0.6205,0.7291,0.53,0.6138,0.7144
welfake_clean,both_synthetic_matched,SVM,0.4309,0.0,0.0,0.0,0.5
welfake_clean,both_synthetic_matched,CNN,0.7205,0.7615,0.7407,0.751,0.7938
welfake_clean,both_synthetic_matched,BERT,0.6243,0.6914,0.6138,0.6502,0.6959
welfake_clean,synthetic_25pct,LR,0.9187,0.9637,0.8908,0.9258,0.9728
welfake_clean,synthetic_25pct,SVM,0.9218,0.9801,0.8805,0.9276,0.9734
welfake_clean,synthetic_25pct,CNN,0.9702,0.9735,0.9742,0.9738,0.9945
welfake_clean,synthetic_25pct,BERT,0.9926,0.998,0.9889,0.9934,0.9993
welfake_clean,synthetic_75pct,LR,0.9028,0.8953,0.939,0.9167,0.9662
welfake_clean,synthetic_75pct,SVM,0.4614,1.0,0.0536,0.1017,0.527
welfake_clean,synthetic_75pct,CNN,0.8167,0.7708,0.9648,0.857,0.9454
welfake_clean,synthetic_75pct,BERT,0.9458,0.9348,0.9726,0.9533,0.9855
