comp,model,split,fold,n_train,n_val,accuracy,precision,recall,f1,auc_roc
real_real,LR,stratified,1,800,200,0.98,0.9898,0.97,0.9798,0.99
real_real,SVM,stratified,1,800,200,0.99,0.99,0.99,0.99,0.9941
real_real,LR,stratified,2,800,200,0.95,0.9688,0.93,0.949,0.9944
real_real,SVM,stratified,2,800,200,0.96,0.9792,0.94,0.9592,0.9972
real_real,LR,stratified,3,800,200,0.94,0.949,0.93,0.9394,0.9846
real_real,SVM,stratified,3,800,200,0.955,0.9691,0.94,0.9543,0.9957
real_real,LR,stratified,4,800,200,0.965,0.9794,0.95,0.9645,0.9912
real_real,SVM,stratified,4,800,200,0.97,0.9796,0.96,0.9697,0.9935
real_real,LR,stratified,5,800,200,0.965,0.9697,0.96,0.9648,0.9948
real_real,SVM,stratified,5,800,200,0.97,0.9796,0.96,0.9697,0.9983
real_real,LR,grouped,1,800,200,0.975,0.9897,0.96,0.9746,0.9971
real_real,SVM,grouped,1,800,200,0.98,0.9898,0.97,0.9798,0.9987
real_real,LR,grouped,2,800,200,0.95,0.9688,0.93,0.949,0.9901
real_real,SVM,grouped,2,800,200,0.96,0.9792,0.94,0.9592,0.994
real_real,LR,grouped,3,800,200,0.955,0.9691,0.94,0.9543,0.9867
real_real,SVM,grouped,3,800,200,0.965,0.9697,0.96,0.9648,0.9959
real_real,LR,grouped,4,800,200,0.985,0.9899,0.98,0.9849,0.9991
real_real,SVM,grouped,4,800,200,0.995,1.0,0.99,0.995,0.9999
real_real,LR,grouped,5,800,200,0.925,0.9474,0.9,0.9231,0.9799
real_real,SVM,grouped,5,800,200,0.94,0.9681,0.91,0.9381,0.9891
half_synthetic,LR,stratified,1,800,200,0.595,0.6203,0.49,0.5475,0.5635
half_synthetic,SVM,stratified,1,800,200,0.56,0.5714,0.48,0.5217,0.6147
half_synthetic,LR,stratified,2,800,200,0.565,0.5747,0.5,0.5348,0.5575
half_synthetic,SVM,stratified,2,800,200,0.53,0.5375,0.43,0.4778,0.5806
half_synthetic,LR,stratified,3,800,200,0.49,0.49,0.49,0.49,0.5255
half_synthetic,SVM,stratified,3,800,200,0.475,0.4742,0.46,0.467,0.5668
half_synthetic,LR,stratified,4,800,200,0.585,0.5876,0.57,0.5787,0.6138
half_synthetic,SVM,stratified,4,800,200,0.55,0.55,0.55,0.55,0.6323
half_synthetic,LR,stratified,5,800,200,0.55,0.5581,0.48,0.5161,0.5483
half_synthetic,SVM,stratified,5,800,200,0.53,0.5349,0.46,0.4946,0.588
half_synthetic,LR,grouped,1,800,200,0.725,0.8358,0.56,0.6707,0.7624
half_synthetic,SVM,grouped,1,800,200,0.72,0.8929,0.5,0.641,0.7517
half_synthetic,LR,grouped,2,800,200,0.7,0.8226,0.51,0.6296,0.7325
half_synthetic,SVM,grouped,2,800,200,0.73,0.9423,0.49,0.6447,0.734
half_synthetic,LR,grouped,3,800,200,0.74,0.9286,0.52,0.6667,0.7581
half_synthetic,SVM,grouped,3,800,200,0.725,0.9592,0.47,0.6309,0.7515
half_synthetic,LR,grouped,4,800,200,0.735,0.8219,0.6,0.6936,0.774
half_synthetic,SVM,grouped,4,800,200,0.72,0.94,0.47,0.6267,0.7695
half_synthetic,LR,grouped,5,800,200,0.725,0.8814,0.52,0.6541,0.7577
half_synthetic,SVM,grouped,5,800,200,0.73,0.9792,0.47,0.6351,0.743
full_synthetic,LR,stratified,1,800,200,0.115,0.0947,0.09,0.0923,0.035
full_synthetic,SVM,stratified,1,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,stratified,2,800,200,0.11,0.11,0.11,0.11,0.0235
full_synthetic,SVM,stratified,2,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,stratified,3,800,200,0.1,0.1,0.1,0.1,0.0235
full_synthetic,SVM,stratified,3,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,stratified,4,800,200,0.11,0.0938,0.09,0.0918,0.0345
full_synthetic,SVM,stratified,4,800,200,0.5,0.5,1.0,0.6667,0.5
full_synthetic,LR,stratified,5,800,200,0.09,0.1058,0.11,0.1078,0.021
full_synthetic,SVM,stratified,5,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,grouped,1,799,201,0.5622,0.6444,0.2871,0.3973,0.5713
full_synthetic,SVM,grouped,1,799,201,0.4975,0.0,0.0,0.0,0.5
full_synthetic,LR,grouped,2,801,199,0.5477,0.5818,0.3232,0.4156,0.5436
full_synthetic,SVM,grouped,2,801,199,0.4975,0.4975,1.0,0.6644,0.5
full_synthetic,LR,grouped,3,800,200,0.56,0.5938,0.38,0.4634,0.5573
full_synthetic,SVM,grouped,3,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,grouped,4,800,200,0.555,0.6078,0.31,0.4106,0.5936
full_synthetic,SVM,grouped,4,800,200,0.5,0.0,0.0,0.0,0.5
full_synthetic,LR,grouped,5,800,200,0.565,0.6032,0.38,0.4663,0.5763
full_synthetic,SVM,grouped,5,800,200,0.5,0.0,0.0,0.0,0.5
synthetic_length_controlled,LR,stratified,1,800,200,0.48,0.4828,0.56,0.5185,0.4978
synthetic_length_controlled,SVM,stratified,1,800,200,0.495,0.4947,0.47,0.4821,0.5339
synthetic_length_controlled,LR,stratified,2,800,200,0.475,0.479,0.57,0.5205,0.4763
synthetic_length_controlled,SVM,stratified,2,800,200,0.49,0.4911,0.55,0.5189,0.5323
synthetic_length_controlled,LR,stratified,3,800,200,0.445,0.4486,0.48,0.4638,0.4654
synthetic_length_controlled,SVM,stratified,3,800,200,0.415,0.422,0.46,0.4402,0.5071
synthetic_length_controlled,LR,stratified,4,800,200,0.525,0.5229,0.57,0.5455,0.5214
synthetic_length_controlled,SVM,stratified,4,800,200,0.52,0.5189,0.55,0.534,0.5868
synthetic_length_controlled,LR,stratified,5,800,200,0.5,0.5,0.58,0.537,0.534
synthetic_length_controlled,SVM,stratified,5,800,200,0.54,0.5385,0.56,0.549,0.5681
synthetic_length_controlled,LR,grouped,1,800,200,0.595,0.5888,0.63,0.6087,0.6508
synthetic_length_controlled,SVM,grouped,1,800,200,0.585,0.5794,0.62,0.599,0.6294
synthetic_length_controlled,LR,grouped,2,800,200,0.555,0.5591,0.52,0.5389,0.6253
synthetic_length_controlled,SVM,grouped,2,800,200,0.565,0.5714,0.52,0.5445,0.6523
synthetic_length_controlled,LR,grouped,3,800,200,0.62,0.6053,0.69,0.6449,0.6951
synthetic_length_controlled,SVM,grouped,3,800,200,0.625,0.619,0.65,0.6341,0.7007
synthetic_length_controlled,LR,grouped,4,800,200,0.615,0.6036,0.67,0.6351,0.6868
synthetic_length_controlled,SVM,grouped,4,800,200,0.64,0.6795,0.53,0.5955,0.667
synthetic_length_controlled,LR,grouped,5,800,200,0.6,0.5909,0.65,0.619,0.6405
synthetic_length_controlled,SVM,grouped,5,800,200,0.59,0.5882,0.6,0.5941,0.6414
style_robust,LR,stratified,1,960,240,0.9583,0.9661,0.95,0.958,0.9947
style_robust,SVM,stratified,1,960,240,0.9667,0.9828,0.95,0.9661,0.9969
style_robust,LR,stratified,2,960,240,0.9625,0.9744,0.95,0.962,0.9858
style_robust,SVM,stratified,2,960,240,0.9708,0.9748,0.9667,0.9707,0.9925
style_robust,LR,stratified,3,960,240,0.9625,0.9664,0.9583,0.9623,0.9933
style_robust,SVM,stratified,3,960,240,0.9667,0.9746,0.9583,0.9664,0.9969
