train_set,model,test,accuracy,recall,f1,auc_roc,precision
train_real_real,BERT,indomain,0.9992,0.9997,0.9993,0.9999,0.9989
train_real_real,BERT,crossdomain,0.9455,0.9054,0.9497,0.9985,0.9986
train_mixed,BERT,indomain,0.9989,0.9998,0.9991,0.9997,0.9983
train_mixed,BERT,crossdomain,0.9981,0.9986,0.9983,0.9983,0.9981
train_real_syn,BERT,indomain,0.589,0.9009,0.7236,0.5543,0.6045
train_real_syn,BERT,crossdomain,0.5359,0.8457,0.6747,0.5291,0.5612
train_augmented,BERT,indomain,0.9934,1.0,0.9945,1.0,0.9891
train_augmented,BERT,crossdomain,0.993,1.0,0.9939,0.9974,0.9878
train_lowres_real,BERT,indomain,0.9987,0.9991,0.9989,0.9999,0.9987
train_lowres_real,BERT,crossdomain,0.9318,0.8816,0.9363,0.9985,0.9984
train_lowres_aug,BERT,indomain,0.999,0.9997,0.9991,0.9999,0.9986
train_lowres_aug,BERT,crossdomain,0.999,0.9998,0.9991,0.9982,0.9984
train_c2_synreal_realfake,BERT,indomain,0.909,0.9975,0.9291,0.9882,0.8694
train_c2_synreal_realfake,BERT,crossdomain,0.6497,0.5526,0.6423,0.7789,0.7667
train_c3_synreal_synfake,BERT,indomain,0.589,0.9792,0.7399,0.2471,0.5946
train_c3_synreal_synfake,BERT,crossdomain,0.3641,0.6318,0.5307,0.0206,0.4575
train_c6_full_augmented,BERT,indomain,0.9981,0.9984,0.9984,0.9988,0.9984
train_c6_full_augmented,BERT,crossdomain,0.9019,0.8294,0.9059,0.8842,0.9979
train_real_real,CNN,indomain,0.9945,0.9926,0.9954,0.9995,0.9983
train_real_real,CNN,crossdomain,0.9544,0.9219,0.9584,0.9984,0.9979
train_mixed,CNN,indomain,0.8938,0.998,0.9182,0.9967,0.8502
train_mixed,CNN,crossdomain,0.8544,0.9415,0.8804,0.9212,0.8268
train_real_syn,CNN,indomain,0.5967,0.9994,0.7474,0.4834,0.5969
train_real_syn,CNN,crossdomain,0.5525,0.9708,0.7117,0.057,0.5618
train_augmented,CNN,indomain,0.8908,0.9995,0.9162,0.9989,0.8457
train_augmented,CNN,crossdomain,0.8791,0.9922,0.9033,0.9613,0.829
train_lowres_real,CNN,indomain,0.995,0.9935,0.9958,0.9997,0.9981
train_lowres_real,CNN,crossdomain,0.993,0.9897,0.9938,0.9983,0.9979
train_lowres_aug,CNN,indomain,0.9529,0.9994,0.962,0.9995,0.9273
train_lowres_aug,CNN,crossdomain,0.9497,0.9995,0.9577,0.9885,0.9192
train_c2_synreal_realfake,CNN,indomain,0.9738,0.9869,0.9782,0.997,0.9697
train_c2_synreal_realfake,CNN,crossdomain,0.8057,0.6931,0.8023,0.9555,0.9524
train_c3_synreal_synfake,CNN,indomain,0.3392,0.5493,0.4981,0.0634,0.4557
train_c3_synreal_synfake,CNN,crossdomain,0.1087,0.1701,0.1784,0.0305,0.1876
train_c6_full_augmented,CNN,indomain,0.8342,0.998,0.8778,0.992,0.7835
train_c6_full_augmented,CNN,crossdomain,0.7702,0.9056,0.8177,0.8008,0.7454
