file,n,similarity_mean,similarity_sd,similarity_median,similarity_p25,similarity_p75,edit_distance_mean,gap_pp,within_tolerance
synthetic_real_sym,500,0.6172,0.0804,0.629,0.5814,0.6698,0.3828,,
synthetic_fake_sym,500,0.568,0.0914,0.5808,0.5324,0.6301,0.432,,
synthetic_real,1000,0.444,0.1523,0.4088,0.3101,0.5761,0.556,,
synthetic_fake,500,0.6586,0.2277,0.5936,0.4254,0.9236,0.3414,,
synthetic_real_sym vs synthetic_fake_sym,,,,,,,,4.92,True
synthetic_real_sym vs synthetic_real,,,,,,,,17.32,False
synthetic_real_sym vs synthetic_fake,,,,,,,,4.14,True
synthetic_fake_sym vs synthetic_real,,,,,,,,12.4,False
synthetic_fake_sym vs synthetic_fake,,,,,,,,9.06,False
synthetic_real vs synthetic_fake,,,,,,,,21.46,False
