train_set,model,f1,tn,fp,fn,tp,pred_real_pct,pred_fake_pct,true_real_pct,true_fake_pct
real_real,CNN,0.952,4273,11,508,5149,48.1,51.9,43.1,56.9
mixed,CNN,0.877,3223,1061,411,5246,36.6,63.4,43.1,56.9
real_syn,CNN,0.719,0,4284,77,5580,0.8,99.2,43.1,56.9
c2_synreal_realfake,CNN,0.7218,4168,116,2397,3260,66.0,34.0,43.1,56.9
c3_synreal_synfake,CNN,0.1432,126,4158,4900,757,50.6,49.4,43.1,56.9
real_real,BERT,0.9511,4277,7,521,5136,48.3,51.7,43.1,56.9
mixed,BERT,0.9987,4273,11,4,5653,43.0,57.0,43.1,56.9
real_syn,BERT,0.6724,569,3715,910,4747,14.9,85.1,43.1,56.9
c2_synreal_realfake,BERT,0.6467,3292,992,2480,3177,58.1,41.9,43.1,56.9
c3_synreal_synfake,BERT,0.5245,49,4235,2141,3516,22.0,78.0,43.1,56.9
real_real,LR,0.8569,4182,102,1340,4317,55.5,44.5,43.1,56.9
real_real,SVM,0.9079,4203,81,887,4770,51.2,48.8,43.1,56.9
mixed,LR,0.9372,3954,330,378,5279,43.6,56.4,43.1,56.9
mixed,SVM,0.8029,4216,68,1817,3840,60.7,39.3,43.1,56.9
real_syn,LR,0.8851,3190,1094,298,5359,35.1,64.9,43.1,56.9
real_syn,SVM,0.0,4284,0,5657,0,100.0,0.0,43.1,56.9
c2_synreal_realfake,LR,0.7933,2991,1293,1088,4569,41.0,59.0,43.1,56.9
c2_synreal_realfake,SVM,0.7905,2930,1354,1075,4582,40.3,59.7,43.1,56.9
c3_synreal_synfake,LR,0.4985,58,4226,2376,3281,24.5,75.5,43.1,56.9
c3_synreal_synfake,SVM,0.6073,22,4262,1332,4325,13.6,86.4,43.1,56.9
