model,comp,dataset,true_label,predicted_label,confidence,source,text
cnn,swap_025,liar,REAL,FAKE,0.9628,isot,"Jenner uses women's restroom at Trump property. Caitlyn Jenner posted a video on Wednesday (April 26) of herself using a women’s bathroom at Republican Presidential candidate Donald Trump’s New York hotel. Published on her Facebook page, Jenner’s video shows her walking along the street, entering the Trump International Hotel and Tower and making her way to the restrooms. The video was spurred on by Trump, who, during an appearance on The Today Show last week, said in an interview that he would not care if Jenner used the women’s room at his properties. His comment came following the trending topic of so-called “bathroom bills,” like the one passed in North Carolina, which prohibits transgender people from using bathrooms consistent with their gender identity."
cnn,swap_025,liar,REAL,FAKE,0.882,isot,"Commentary: Party leaders often disliked their nominee. It’s the public vitriol that’s new.. GOP leaders have unleashed a stunning level of vitriol against their party’s most successful presidential candidate.  House Speaker Paul Ryan (R-Wis.), emphatically declared last week that he was not ready to endorse Donald Trump, his party’s presumptive presidential nominee. This move was unprecedented in modern American history. Trump’s response was that Ryan may need to be replaced as head of the Republican National Convention.  Ryan’s rebuke reminds Americans that Trump is deeply unpopular, particularly among a significant number of powerful Republicans. Former GOP presidential nominee Mitt Romney belittled the GOP’s new leader as a moral cretin unfit to be the standard bearer. Former President George W. Bush and his father, President George H.W. Bush, both say they are not attending the GOP convention in Cleveland.  Such attacks, however, are nothing new.  Political elders have lambasted their party’s leading presidential contenders throughout U.S. history. The big difference now is that this battle is playing out in public. In the past, attacks were largely in party backrooms, behind closed doors.  To be sure, some serious breaks have been acted out in public. With dire results. President Theodore Roosevelt, for example, realized in 1912 that his progressive agenda was being abandoned by his chosen successor, William Howard Taft. TR challenged Taft in the Republican primaries. “We stand at Armageddon,” Roosevelt thundered at the convention, “and we battle for the Lord!”  When Taft prevailed, Roosevelt bolted the party. He ran as a third-party candidate in 1912 on a Progressive Party ticket. Ultimately, the Democratic nominee, Woodrow Wilson, won.  In most other cases, however, the internecine bloodletting took place in private, preserving the appearance of party unity and making it easier to heal any rifts.  The 1944 Republican nominee Thomas Dewey ignored former President Herbert Hoover at an important state funeral that October and drew the national leader’s ire. “Dewey has no inner reservoir of knowledge on which to draw for his thinking.” Hoover sneered to a friend. “A man couldn’t wear a mustache like that without having it affect his mind.”  Hoover, though, sought to keep his beliefs private  Former presidents have kept mum even when they see a nominee as a threat to their legacy. In 1964, for example, former President Dwight D. Eisenhower didn’t have much regard for Senator Barry Goldwater. The conservative firebrand had repudiated Eisenhower’s presidency as a “dime-store New Deal.” Nonetheless, Eisenhower gave only halting support to the party’s anti-Goldwater forces. Despite Eisenhower’s contempt, the Arizonan became the Republican nominee, only to lose in a landslide to President Lyndon B. Johnson.  Four years earlier, the Democratic power brokers were not as reticent. They viewed Senator John F. Kennedy, their party’s leading candidate in 1960, as too conservative and inexperienced. They disliked the campaign role of Joseph Kennedy, JFK’s father, and his controversial past. In addition, party leaders worried that JFK could not win national office because he was a Catholic.  During the primaries, Truman, the titular head of the party, told a TV news conference that a nominee should have “the greatest possible maturity and experience” -- a clear dig at JFK’s relative youth. The former president beseeched his party to hold a brokered convention and find a way to avoid nominating Kennedy. Eventually, however, Truman endorsed Kennedy in the general election, reasoning that GOP nominee Richard M. Nixon was worse  Adlai Stevenson, the Democratic nominee in 1952 and 1956, also refused to back Kennedy during the primary. Even Kennedy’s promise to name Stevenson as secretary of state could not persuade him.  Still, most of the party elders’ scathing criticism against JFK was confined to backroom conversations. Senate Majority Leader Lyndon B. Johnson, who also wanted the nomination, privately mocked Kennedy as “a scrawny little fellow with rickets.” Johnson urged Eisenhower to oppose Kennedy during the primary contest, calling him “a [Senate] nobody” and “a dangerous man.”  But Johnson’s efforts to stop Kennedy were not aired before the country in real time. In fact, 1960 demonstrated how the Democratic elders were able to prevent serious rifts from destroying their party’s chances. After securing the nomination, JFK offered — and LBJ accepted — the second slot on the ticket.  The resentment of party elders toward party nominees was often rooted in a sense that the candidate was repudiating a mentor’s record. In the 1960 GOP presidential race, for example, Eisenhower resented Vice President Nixon’s implication that he would offer more robust leadership. Close to Election Day, Ike was asked to name an instance when Nixon’s advice influenced a presidential decision. “If you give me a week,” Eisenhower replied, “I might think of one.”  In the reverse situation, Vice President Al Gore sought to distance himself from President Bill Clinton during the 2000 presidential campaign. Gore declared in his announcement that he would provide “moral leadership” and defend the American family — not-so-subtle knocks against Clinton’s sexual relationship with a White House intern, Monica Lewinsky. The bitterness between the two men festered and Gore never asked Clinton to campaign with him. After Gore lost to George W. Bush, Clinton upbraided his former vice president for running a lame, visionless campaign.  The current spectacle — in which former Senator Bob Dole will likely be the only past Republican presidential nominee to come to the convention and endorse the party’s standard bearer — is partly a function of Trump’s scorched-earth multi-media campaign. His attacks have been leveled personally, in real-time, via Twitter and cable news. Wounds are deeper, and could be harder to heal.  Trump’s presidential primary campaign is the apotheosis of the anti-Washington mood that has gripped presidential politics since Jimmy Carter’s 1976 White House run. One reason Trump vanquished his foes was because he ran against the GOP’s leadership as out-of-touch and inept.  This played out even as party elders have less power to shape national tickets — and outsiders more ability to tear down anything that smacks of Washington politics-as-usual.  Republican-on-Republican hits on Trump and his main rival, Ted Cruz, have contributed to the fraying of the GOP. The anti-Trump former presidents, as well as current and former party chairmen and congressional leaders, have much at stake. They are fighting for, as they see it, their legacies, their party’s future, their professional identities — and their own power.  In recent decades, party elders have been clinging to an increasingly tenuous position. Think former Majority Leader Eric Cantor, who lost a primary election, as Sarah Palin recently noted. Or former House Speaker John Boehner, who was unable to control his party’s Tea Party wing. Boehner is still so incensed that he called Senator Ted Cruz (R-Tex.) “Lucifer in the flesh.” As we are seeing now with Ryan, Trump’s ferocious public attacks could yet come back to haunt him. Unlike so many past presidential primaries, this rift might prove irreparable."
cnn,swap_025,liar,REAL,FAKE,0.8499,isot,"Commentary: Manic or evasive - these veep guys sure don’t feel like leaders. After going through a week reminiscent of Napoleon’s at Waterloo, Republican presidential nominee Donald Trump will likely claim that Indiana Governor Mike Pence’s performance in Tuesday’s vice-presidential debate gave a boost to their campaign.  That would be overstating it.  The debate probably changed few votes in the 2016 presidential election. The question is whether it will change any votes in the 2020 contest.  In this year’s race, the debate was something of a wash. Virginia Senator Tim Kaine, the Democratic vice-presidential nominee, came across like an over-caffeinated prosecutorial chipmunk – interrupting at every occasion. And at moments that weren’t occasions at all.  A gentle soul who’s uncomfortable in the attack-dog role that the Clinton campaign has assigned him, Kaine plainly overcompensated by piping up whenever Pence sought to evade debate moderator Elaine Quijano’s questions.  And because Pence spent the evening evading, Kaine spent the evening interrupting. Though at the start, the interruptions actually preceded the evasions, and often interrupted Quijano’s interjections as well.  Pence surely had the better podium manner (no great achievement), even if his response to all Kaine’s and Quijano’s questions about the true man of the hour – Trump – was to change the subject. Or, if pressed, to deny that Trump had said what, in fact, Trump had said.  When the 10-second clips are aired and re-aired, Kaine’s attacks on Trump and Pence’s non-responses will redound mildly to Clinton’s advantage.  But what does the debate tell us about the future of both parties? Pence was surely playing to the GOP’s religious right on Tuesday, with his anti-choice religiosity.  In that sense, he was trying to supplant Texas Senator Ted Cruz as the Holy Rollers’ favorite son in the 2020 Republican primaries. (I’m assuming, of course, that Trump will not be running for his second term.)  Pence would bring some clear advantages to this contest. Unlike Cruz, Pence didn’t desert the party’s nominee (though Cruz came slinking back last week and finally endorsed Trump). Pence hasn’t waged a scorched-earth war against the Republican leadership. He doesn’t bear a disquieting resemblance to Bela Lugosi. For all these reasons, Pence will likely be the religious right’s candidate to take on President Hillary Clinton in 2020.  Should Pence become the nominee, however, the GOP standard-bearer would likely only widen the already-yawning gap between Republicans and a majority of the American electorate. The affirmation of traditional right-wing positions that Pence delivered last night – against progressive taxation and all regulation, against a woman’s right to choose – would yield the party precious little support among millennials, who will be by far the largest age group in the 2020 electorate.  As for Kaine, it’s hard to think of any wing of the Democratic Party that would flock to him as a future standard bearer after last night’s gravitas-free performance. It’s increasingly unclear why Clinton chose him to be her running mate, because that apparently meant miscasting him as her surrogate Trump-attacker.  In both his convention speech and his debate performance, Kaine has shown himself not up to the task. Some alternatives to Kaine – Labor Secretary Tom Perez comes to mind – would clearly have been better suited to the role. Perez would also have been better suited to help Clinton win more support from the one constituency that she most needs to do better: millennials. Many still don’t see Clinton as signifying any change or embodying the values that Vermont Senator Bernie Sanders championed.  Kaine is a man of many virtues, and certainly could step into the presidency if he had to. But as a candidate and as a politician able to speak to younger voters and the Sanderistas – that is, the future of the Democratic Party – he’s been distinctly underwhelming.  Meanwhile, Quijano jumped around, one topic to another, almost as manically as Kaine. Moderating is no easy job, but it must be said that Quijano shaped an uncommonly disjointed evening.  More important,, both her questions on the economy – still the American public’s No. 1 concern – focused on the debt and balancing the budget. At a time when the disabling effects of economic inequality and the need for greater public investment in infrastructure are belatedly receiving the recognition they deserve – and when the candidates’ differences on these and other economic issues are vast – the size of the debt was hardly the topic on which the public needed to hear from the candidates.  Between Quijano’s topic-hopping, Kaine’s interruptions and Pence’s evasions, the debate flashed by as cacophonously and at times as incomprehensibly as a game of pinball.  Despite all the clamor, it was resoundingly clear by evening’s end that Kaine is not the Democrats’ future leader, and Pence, while he could be the Republicans’, is not likely to be America’s."
cnn,mixed,liar,REAL,FAKE,0.9166,isot,"Jenner uses women's restroom at Trump property. Caitlyn Jenner posted a video on Wednesday (April 26) of herself using a women’s bathroom at Republican Presidential candidate Donald Trump’s New York hotel. Published on her Facebook page, Jenner’s video shows her walking along the street, entering the Trump International Hotel and Tower and making her way to the restrooms. The video was spurred on by Trump, who, during an appearance on The Today Show last week, said in an interview that he would not care if Jenner used the women’s room at his properties. His comment came following the trending topic of so-called “bathroom bills,” like the one passed in North Carolina, which prohibits transgender people from using bathrooms consistent with their gender identity."
cnn,mixed,liar,REAL,FAKE,0.8678,isot,"N.J. Governor Chris Christie accosts heckler in Milwaukee. NEW YORK (Reuters) - New Jersey Governor Chris Christie confronted a baseball fan who heckled him during a Sunday night game in Milwaukee, according to a video posted by local media, making the unpopular governor the target of another round of online jokes. The second-term Republican can be seen clutching a bowl of nachos and leaning over a man identified as Brad Joseph, telling him “you’re a big shot,” before walking away down a flight of stairs, according to a video of the incident posted online by Milwaukee’s WISN television. Joseph told the station he yelled Christie’s name when the governor was going up the stairs and called him a “hypocrite” during the game between the Milwaukee Brewers and Chicago Cubs. “(He) was yelling at me. First he told me, ‘Why don’t you have another beer?’ which I thought was a decent come back, and I thought that was kind of funny,” the station quoted Joseph as saying. “Then he started calling me a tough guy.” A representative from Christie’s office did not immediately respond to a request for comment on Monday.  Many social media users took to Twitter to express their anger over Christie’s actions. Comedian Nick Jack Pappas tweeted on Sunday, “Chris Christie just proved it’s impossible to look tough with your pants pulled up to your chest.” “Dude shoulda smacked those nachos out of @ChrisChristie hands and told him to go back to the ‘closed’ public beach where it’s safe,” tweeted Zach Thurman on Monday.  Christie made headlines earlier this month after getting slammed for relaxing at a New Jersey state beach amid a government shutdown that made the beach off limits to everyone else.  Altered photos of Christie in a beach chair spread across the internet, depicting him a White House meeting, movie and television scenes and other unlikely settings. Christie is one of the most-disliked U.S. governors, with a Quinnipiac University poll in June finding that eight of 10 New Jersey voters disapproved of the job be was doing, which it said was the worst of any governor and the lowest job approval rating it had found for any governor in 20 years."
cnn,mixed,liar,REAL,FAKE,0.8564,isot,"Commentary: Party leaders often disliked their nominee. It’s the public vitriol that’s new.. GOP leaders have unleashed a stunning level of vitriol against their party’s most successful presidential candidate.  House Speaker Paul Ryan (R-Wis.), emphatically declared last week that he was not ready to endorse Donald Trump, his party’s presumptive presidential nominee. This move was unprecedented in modern American history. Trump’s response was that Ryan may need to be replaced as head of the Republican National Convention.  Ryan’s rebuke reminds Americans that Trump is deeply unpopular, particularly among a significant number of powerful Republicans. Former GOP presidential nominee Mitt Romney belittled the GOP’s new leader as a moral cretin unfit to be the standard bearer. Former President George W. Bush and his father, President George H.W. Bush, both say they are not attending the GOP convention in Cleveland.  Such attacks, however, are nothing new.  Political elders have lambasted their party’s leading presidential contenders throughout U.S. history. The big difference now is that this battle is playing out in public. In the past, attacks were largely in party backrooms, behind closed doors.  To be sure, some serious breaks have been acted out in public. With dire results. President Theodore Roosevelt, for example, realized in 1912 that his progressive agenda was being abandoned by his chosen successor, William Howard Taft. TR challenged Taft in the Republican primaries. “We stand at Armageddon,” Roosevelt thundered at the convention, “and we battle for the Lord!”  When Taft prevailed, Roosevelt bolted the party. He ran as a third-party candidate in 1912 on a Progressive Party ticket. Ultimately, the Democratic nominee, Woodrow Wilson, won.  In most other cases, however, the internecine bloodletting took place in private, preserving the appearance of party unity and making it easier to heal any rifts.  The 1944 Republican nominee Thomas Dewey ignored former President Herbert Hoover at an important state funeral that October and drew the national leader’s ire. “Dewey has no inner reservoir of knowledge on which to draw for his thinking.” Hoover sneered to a friend. “A man couldn’t wear a mustache like that without having it affect his mind.”  Hoover, though, sought to keep his beliefs private  Former presidents have kept mum even when they see a nominee as a threat to their legacy. In 1964, for example, former President Dwight D. Eisenhower didn’t have much regard for Senator Barry Goldwater. The conservative firebrand had repudiated Eisenhower’s presidency as a “dime-store New Deal.” Nonetheless, Eisenhower gave only halting support to the party’s anti-Goldwater forces. Despite Eisenhower’s contempt, the Arizonan became the Republican nominee, only to lose in a landslide to President Lyndon B. Johnson.  Four years earlier, the Democratic power brokers were not as reticent. They viewed Senator John F. Kennedy, their party’s leading candidate in 1960, as too conservative and inexperienced. They disliked the campaign role of Joseph Kennedy, JFK’s father, and his controversial past. In addition, party leaders worried that JFK could not win national office because he was a Catholic.  During the primaries, Truman, the titular head of the party, told a TV news conference that a nominee should have “the greatest possible maturity and experience” -- a clear dig at JFK’s relative youth. The former president beseeched his party to hold a brokered convention and find a way to avoid nominating Kennedy. Eventually, however, Truman endorsed Kennedy in the general election, reasoning that GOP nominee Richard M. Nixon was worse  Adlai Stevenson, the Democratic nominee in 1952 and 1956, also refused to back Kennedy during the primary. Even Kennedy’s promise to name Stevenson as secretary of state could not persuade him.  Still, most of the party elders’ scathing criticism against JFK was confined to backroom conversations. Senate Majority Leader Lyndon B. Johnson, who also wanted the nomination, privately mocked Kennedy as “a scrawny little fellow with rickets.” Johnson urged Eisenhower to oppose Kennedy during the primary contest, calling him “a [Senate] nobody” and “a dangerous man.”  But Johnson’s efforts to stop Kennedy were not aired before the country in real time. In fact, 1960 demonstrated how the Democratic elders were able to prevent serious rifts from destroying their party’s chances. After securing the nomination, JFK offered — and LBJ accepted — the second slot on the ticket.  The resentment of party elders toward party nominees was often rooted in a sense that the candidate was repudiating a mentor’s record. In the 1960 GOP presidential race, for example, Eisenhower resented Vice President Nixon’s implication that he would offer more robust leadership. Close to Election Day, Ike was asked to name an instance when Nixon’s advice influenced a presidential decision. “If you give me a week,” Eisenhower replied, “I might think of one.”  In the reverse situation, Vice President Al Gore sought to distance himself from President Bill Clinton during the 2000 presidential campaign. Gore declared in his announcement that he would provide “moral leadership” and defend the American family — not-so-subtle knocks against Clinton’s sexual relationship with a White House intern, Monica Lewinsky. The bitterness between the two men festered and Gore never asked Clinton to campaign with him. After Gore lost to George W. Bush, Clinton upbraided his former vice president for running a lame, visionless campaign.  The current spectacle — in which former Senator Bob Dole will likely be the only past Republican presidential nominee to come to the convention and endorse the party’s standard bearer — is partly a function of Trump’s scorched-earth multi-media campaign. His attacks have been leveled personally, in real-time, via Twitter and cable news. Wounds are deeper, and could be harder to heal.  Trump’s presidential primary campaign is the apotheosis of the anti-Washington mood that has gripped presidential politics since Jimmy Carter’s 1976 White House run. One reason Trump vanquished his foes was because he ran against the GOP’s leadership as out-of-touch and inept.  This played out even as party elders have less power to shape national tickets — and outsiders more ability to tear down anything that smacks of Washington politics-as-usual.  Republican-on-Republican hits on Trump and his main rival, Ted Cruz, have contributed to the fraying of the GOP. The anti-Trump former presidents, as well as current and former party chairmen and congressional leaders, have much at stake. They are fighting for, as they see it, their legacies, their party’s future, their professional identities — and their own power.  In recent decades, party elders have been clinging to an increasingly tenuous position. Think former Majority Leader Eric Cantor, who lost a primary election, as Sarah Palin recently noted. Or former House Speaker John Boehner, who was unable to control his party’s Tea Party wing. Boehner is still so incensed that he called Senator Ted Cruz (R-Tex.) “Lucifer in the flesh.” As we are seeing now with Ryan, Trump’s ferocious public attacks could yet come back to haunt him. Unlike so many past presidential primaries, this rift might prove irreparable."
cnn,swap_075,liar,REAL,FAKE,0.7433,isot,"The Sean Spicer Show: White House spokesman's brief season. WASHINGTON (Reuters) - Sean Spicer burst onto the public stage six months ago with a scolding rant against reporters, accusing them of lowballing the size of President Donald Trump’s Inauguration Day crowd.  Following a turbulent half-year run as White House press secretary, Spicer is leaving the building with a final burst of drama after rejecting what amounted to a downsizing of his role. Until he got swept up in Trump’s orbit, Spicer had been a party functionary for the Republican National Committee, well known and respected among Washington political operatives and reporters but with no national profile. As Trump’s frontman at televised White House news briefings, however, the 45-year-old achieved a certain fame for defending the president at all costs through a variety of crises that have beset Trump’s young presidency. He became instantly recognizable around the country and an inspiration for social media memes. His live televised briefings drew big audiences for cable TV. Spicer was lampooned on NBC’s “Saturday Night Live,” with Melissa McCarthy playing the combative “Spicey” character, swallowing gum and driving a motorized lectern into actors playing reporters who asked hard questions.  Asked what he thought of the show, Spicer told Fox News in an interview on Friday: “I think that there were parts of it that were funny, but there’s a lot of it that was over the line. It wasn’t funny. It was stupid, or silly, or malicious.” Over time, however, Trump felt he was not being defended strongly enough by his communications team and that there were not enough people advocating for him on TV, according to a Republican close to the White House. In a crushing snub, Spicer, a devout Roman Catholic, was kept off the list of White House officials who met Pope Francis when Trump visited the Vatican in May.  With Trump eager to make changes in his communications team, the president began courting Anthony Scaramucci, a New York financial whiz who has been an eloquent defender of Trump in TV interviews. Scaramucci is a prominent Republican fundraiser who advised Trump during his presidential campaign last year after working first on rival Scott Walker’s campaign until it fizzled. Trump met Scaramucci on Thursday and talked about making him communications director, and planned a formal job interview and offer on Friday.  Spicer was dubious when told he would continue in the duties of press secretary and communications director with Scaramucci, who is not experienced in the ways of Washington, taking over the ceremonial title, a source close to the White House press operation said. “This is a joke,” the source said. “Trump wanted Scaramucci on television as a surrogate for the White House and wanted to give him more of a formal title. There was simply no understanding by the president that the communications director title comes with lots of responsibilities, not just going on television.” When Trump went ahead with the hire on Friday and asked Spicer to stay on, Spicer had had enough, telling the president he was resigning, the source said. After the announcement was made to the White House communications staff at midmorning, White House chief of staff Reince Priebus huddled with Spicer and Scaramucci privately. Spicer told Fox News the president did not want him to go and had been “very gracious throughout this process.”  “I just thought it was in the best interest of our communications department, of our press organization to not have too many cooks in the kitchen,” he said. Trump tweeted late on Friday: “Sean Spicer is a wonderful person who took tremendous abuse from the Fake News Media - but his future is bright!”      Spicer, spotted around the White House complex, was described by colleagues as in a good mood and feeling he had made the right decision."
cnn,swap_075,liar,REAL,FAKE,0.7399,isot,"Jenner uses women's restroom at Trump property. Caitlyn Jenner posted a video on Wednesday (April 26) of herself using a women’s bathroom at Republican Presidential candidate Donald Trump’s New York hotel. Published on her Facebook page, Jenner’s video shows her walking along the street, entering the Trump International Hotel and Tower and making her way to the restrooms. The video was spurred on by Trump, who, during an appearance on The Today Show last week, said in an interview that he would not care if Jenner used the women’s room at his properties. His comment came following the trending topic of so-called “bathroom bills,” like the one passed in North Carolina, which prohibits transgender people from using bathrooms consistent with their gender identity."
cnn,swap_075,liar,REAL,FAKE,0.735,isot,"Factbox: Trump on Twitter (December 7) - Pearl Harbor Remembrance Day. The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - Go get the new book on Andrew Jackson by Brian Kilmeade...Really good. @foxandfriends [0808 EST] - National Pearl Harbor Remembrance Day - “A day that will live in infamy!” December 7, 1941 [1004 EST] - Today, our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought for America.  God Bless our HEROES who wear the uniform, and God Bless the United States of America. #PearlHarborRemembranceDay [1116 EST] - Today, the U.S. flag flies at half-staff at the @WhiteHouse, in honor of National Pearl Harbor Remembrance Day. instagram.com/p/BcaeCLLAEkl/ [1504 EST] - Today, as we Remember Pearl Harbor, it was an incredible honor to be joined with surviving Veterans of the attack on 12/7/1941. They are HEROES, and they are living witnesses to American History. All American hearts are filled with gratitude for their service and their sacrifice. [1552 EST] - Across the battlefields, oceans, and harrowing skies of Europe and the Pacific throughout the war, one great battle cry could be heard by America’s friends and foes alike: -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR)"
cnn,real_syn,liar,REAL,FAKE,0.6304,isot,"Putin says U.S. 'hysteria' over Russia is election ploy. KRASNAYA POLYANA, Russia (Reuters) - President Vladimir Putin on Thursday accused American politicians of whipping up hysteria about a mythical Russian threat as a ploy to distract voters from their own failings in the run-up to the U.S. presidential election. Putin, addressing an audience of foreign policy experts gathered in southern Russia, repeatedly lashed out at the Obama administration, saying it did not keep its word on Syria, did not honour deals, and had falsely accused Moscow of all manner of sins.     The U.S. government has formally accused Russia of a campaign of cyber attacks against Democratic Party organisations, while Democratic candidate Hillary Clinton has accused Republican rival Donald Trump of being a Putin “puppet”. Putin said he found it hard to believe that anyone seriously thought Moscow was capable of influencing the Nov. 8 election. “Hysteria has been whipped up,” said Putin.  He said that was a ruse to cover up for the fact that the U.S. political elite had nothing to say about serious issues such as the country’s national debt or gun control. “It’s much simpler to distract people with so-called Russian hackers, spies, and agents of influence. Does anyone really think that Russia could influence the American people’s choice in any way? Is America a banana republic or what? America is a great power.” In Washington, White House spokesman Josh Earnest dismissed Putin’s remarks as predictable and said the United States stood by its hacking allegations.  “There’s nothing that President Putin had to say today that I find particularly surprising or that in any way undermines the president’s confidence in the analysis that’s been released by the Department of Homeland Security and the intelligence community,” said Earnest. Russian state TV and some of his past comments have suggested the Russian leader favours Trump, but Putin said he did not back any candidate in the U.S. election and was ready to work with any new U.S. president and to discuss any issue.  Asked about Trump, whom he once described as “very talented,” Putin said the Republican candidate was deliberately adopting a showy style because he wanted to get his message across and that he represented ordinary voters fed up with the U.S. political elite. “He has chosen a method to get through to voters’ hearts,” said Putin. “He behaves extravagantly of course, we see this, but I think there’s a reason for this.” Putin dismissed suggestions by some politicians in the West that Russia is poised to attack another country or intervene elsewhere in the Middle East apart from Syria.    Such talk was designed to exaggerate the threat that Russia posed, he said, in order for certain countries to secure higher military spending and talk up their own importance. He said Russia was not planning to attack anyone. But he made clear Russia was in Syria for the long haul and intended to clear the city of Aleppo of what he called “a nest of terrorists”, while trying to minimise civilian casualties."
