check,train,test,n_overlap,pct_of_test,by_design_full_pool
train_test_overlap,train_augmented,test_indomain,60,0.589,False
train_test_overlap,train_augmented,test_crossdomain,3,0.03,False
train_test_overlap,train_augmented,test_crossdomain2,104,1.07,False
train_test_overlap,train_augmented_full,test_indomain,2182,21.417,True
train_test_overlap,train_augmented_full,test_crossdomain,66,0.666,True
train_test_overlap,train_augmented_full,test_crossdomain2,2875,29.578,True
train_test_overlap,train_c2_synreal_realfake,test_indomain,57,0.559,False
train_test_overlap,train_c2_synreal_realfake,test_crossdomain,0,0.0,False
train_test_overlap,train_c2_synreal_realfake,test_crossdomain2,101,1.039,False
train_test_overlap,train_c3_synreal_synfake,test_indomain,0,0.0,False
train_test_overlap,train_c3_synreal_synfake,test_crossdomain,0,0.0,False
train_test_overlap,train_c3_synreal_synfake,test_crossdomain2,0,0.0,False
train_test_overlap,train_c6_full_augmented,test_indomain,139,1.364,True
train_test_overlap,train_c6_full_augmented,test_crossdomain,6,0.061,True
train_test_overlap,train_c6_full_augmented,test_crossdomain2,216,2.222,True
train_test_overlap,train_lowres_aug,test_indomain,139,1.364,True
train_test_overlap,train_lowres_aug,test_crossdomain,6,0.061,True
train_test_overlap,train_lowres_aug,test_crossdomain2,216,2.222,True
train_test_overlap,train_lowres_real,test_indomain,139,1.364,True
train_test_overlap,train_lowres_real,test_crossdomain,6,0.061,True
train_test_overlap,train_lowres_real,test_crossdomain2,216,2.222,True
train_test_overlap,train_mixed,test_indomain,29,0.285,False
train_test_overlap,train_mixed,test_crossdomain,3,0.03,False
train_test_overlap,train_mixed,test_crossdomain2,47,0.484,False
train_test_overlap,train_real_real,test_indomain,60,0.589,False
train_test_overlap,train_real_real,test_crossdomain,3,0.03,False
train_test_overlap,train_real_real,test_crossdomain2,104,1.07,False
train_test_overlap,train_real_syn,test_indomain,3,0.029,False
train_test_overlap,train_real_syn,test_crossdomain,3,0.03,False
train_test_overlap,train_real_syn,test_crossdomain2,3,0.031,False
train_test_overlap,train_real_syn_multisource,test_indomain,3,0.029,False
train_test_overlap,train_real_syn_multisource,test_crossdomain,3,0.03,False
train_test_overlap,train_real_syn_multisource,test_crossdomain2,3,0.031,False
train_test_overlap,train_style_robust,test_indomain,60,0.589,False
train_test_overlap,train_style_robust,test_crossdomain,3,0.03,False
train_test_overlap,train_style_robust,test_crossdomain2,104,1.07,False
train_test_overlap,train_swap_025,test_indomain,41,0.402,False
train_test_overlap,train_swap_025,test_crossdomain,3,0.03,False
train_test_overlap,train_swap_025,test_crossdomain2,76,0.782,False
train_test_overlap,train_swap_075,test_indomain,17,0.167,False
train_test_overlap,train_swap_075,test_crossdomain,3,0.03,False
train_test_overlap,train_swap_075,test_crossdomain2,25,0.257,False
train_test_overlap,train_sweep_0000,test_indomain,60,0.589,False
train_test_overlap,train_sweep_0000,test_crossdomain,3,0.03,False
train_test_overlap,train_sweep_0000,test_crossdomain2,104,1.07,False
train_test_overlap,train_sweep_0250,test_indomain,60,0.589,False
train_test_overlap,train_sweep_0250,test_crossdomain,3,0.03,False
train_test_overlap,train_sweep_0250,test_crossdomain2,104,1.07,False
train_test_overlap,train_sweep_0500,test_indomain,60,0.589,False
train_test_overlap,train_sweep_0500,test_crossdomain,3,0.03,False
train_test_overlap,train_sweep_0500,test_crossdomain2,104,1.07,False
train_test_overlap,train_sweep_1000,test_indomain,60,0.589,False
train_test_overlap,train_sweep_1000,test_crossdomain,3,0.03,False
train_test_overlap,train_sweep_1000,test_crossdomain2,104,1.07,False
corpus_overlap_with_isot,-,test_crossdomain:liar,0,0.0,
corpus_overlap_with_isot,-,test_crossdomain2:welfake,3608,63.779,
within_corpus_duplicates,-,isot_real,221,1.032,
within_corpus_duplicates,-,isot_fake,5574,23.738,
within_corpus_duplicates,-,liar_fake,13,0.23,
within_corpus_duplicates,-,welfake_fake,8220,22.153,
