model,comp,truncated_to,f1,auc_roc
LR,real_real,300w,0.9373,0.9841
LR,real_real,150w,0.9466,0.9855
LR,real_real,75w,0.9556,0.9886
LR,real_real,40w,0.9579,0.9899
LR,real_real,20w,0.9626,0.9911
SVM,real_real,300w,0.9543,0.9881
SVM,real_real,150w,0.9603,0.9898
SVM,real_real,75w,0.9679,0.9922
SVM,real_real,40w,0.9672,0.9933
SVM,real_real,20w,0.971,0.9946
LR,mixed,300w,0.9372,0.9795
LR,mixed,150w,0.9306,0.979
LR,mixed,75w,0.9163,0.9802
LR,mixed,40w,0.8955,0.9778
LR,mixed,20w,0.8719,0.9765
SVM,mixed,300w,0.9199,0.9741
SVM,mixed,150w,0.9264,0.9733
SVM,mixed,75w,0.9333,0.9732
SVM,mixed,40w,0.9309,0.9672
SVM,mixed,20w,0.9247,0.9632
LR,real_real,full,0.9441,0.9848
LR,real_real,300w/fake,0.9415,0.9868
LR,real_real,150w/fake,0.9526,0.99
LR,real_real,75w/fake,0.9627,0.9927
LR,real_real,40w/fake,0.9688,0.9943
LR,real_real,20w/fake,0.9737,0.9951
SVM,real_real,full,0.9581,0.989
SVM,real_real,300w/fake,0.9574,0.9903
SVM,real_real,150w/fake,0.9646,0.9929
SVM,real_real,75w/fake,0.9729,0.995
SVM,real_real,40w/fake,0.9768,0.9965
SVM,real_real,20w/fake,0.9805,0.9971
LR,mixed,full,0.9445,0.9811
LR,mixed,300w/fake,0.9472,0.9837
LR,mixed,150w/fake,0.9543,0.9875
LR,mixed,75w/fake,0.9619,0.9907
LR,mixed,40w/fake,0.9652,0.9925
LR,mixed,20w/fake,0.9672,0.9938
SVM,mixed,full,0.9235,0.9758
SVM,mixed,300w/fake,0.9225,0.9786
SVM,mixed,150w/fake,0.9338,0.9833
SVM,mixed,75w/fake,0.9488,0.9889
SVM,mixed,40w/fake,0.9576,0.9918
SVM,mixed,20w/fake,0.9618,0.9937
