comp,model,f1_full,f1_max300,auc_full,auc_max300
real_real,LR,0.8568876538308853,0.8393658390667066,0.9795145681865935,0.9676164496792765
real_real,SVM,0.9078797106966121,0.896466565349544,0.9872028152490153,0.9758752655502128
real_real,CNN,0.9564577004510725,0.9703959317108609,0.9984399982372302,0.998392462871661
real_real,BERT,0.9640603566529492,0.9851334408024359,0.9984612488563865,0.9981731688609684
mixed,LR,0.9371560447363749,0.9049381601516656,0.9752025906114021,0.9540108129752402
mixed,SVM,0.8029273392577104,0.8473637352853892,0.965984237074713,0.9215475625168458
mixed,CNN,0.8751877190055064,0.8931166816363191,0.9125097567163097,0.9456231523308751
mixed,BERT,0.9981456953642384,0.9989399293286219,0.9980888265977536,0.9979234431383773
real_syn,LR,0.8850536746490504,0.6672991177307656,0.9433293027304611,0.7034032928473966
real_syn,SVM,0.0,0.0,0.5,0.5
real_syn,CNN,0.7108863385852299,0.7080842214712764,0.05375589632470748,0.06443953163140219
real_syn,BERT,0.6730673494061589,0.7111892208553017,0.5174631398726481,0.7266076898026903
