model,comp,seed,test,f1,auc_roc
CNN,real_real,42,indomain,0.9951,0.9995
CNN,real_real,42,crossdomain,0.9493,0.9984
CNN,real_real,1,indomain,0.9956,0.9995
CNN,real_real,1,crossdomain,0.9749,0.998
CNN,real_real,2,indomain,0.9953,0.9994
CNN,real_real,2,crossdomain,0.9743,0.9983
CNN,mixed,42,indomain,0.9269,0.9964
CNN,mixed,42,crossdomain,0.8754,0.914
CNN,mixed,1,indomain,0.9312,0.996
CNN,mixed,1,crossdomain,0.8499,0.8919
CNN,mixed,2,indomain,0.9672,0.9981
CNN,mixed,2,crossdomain,0.9177,0.9653
CNN,real_syn,42,indomain,0.7474,0.4181
CNN,real_syn,42,crossdomain,0.7155,0.0615
CNN,real_syn,1,indomain,0.7274,0.4018
CNN,real_syn,1,crossdomain,0.5328,0.0906
CNN,real_syn,2,indomain,0.7463,0.5317
CNN,real_syn,2,crossdomain,0.6682,0.158
CNN,swap_025,42,indomain,0.987,0.9992
CNN,swap_025,42,crossdomain,0.947,0.9888
CNN,swap_025,1,indomain,0.9861,0.9991
CNN,swap_025,1,crossdomain,0.9404,0.9863
CNN,swap_025,2,indomain,0.9835,0.9991
CNN,swap_025,2,crossdomain,0.9627,0.9908
CNN,swap_075,42,indomain,0.8881,0.9855
CNN,swap_075,42,crossdomain,0.7621,0.7671
CNN,swap_075,1,indomain,0.8702,0.9839
CNN,swap_075,1,crossdomain,0.6978,0.6786
CNN,swap_075,2,indomain,0.8644,0.9933
CNN,swap_075,2,crossdomain,0.7982,0.8105
CNN,c2_synreal_realfake,42,indomain,0.981,0.9973
CNN,c2_synreal_realfake,42,crossdomain,0.7156,0.9592
CNN,c2_synreal_realfake,1,indomain,0.9775,0.9968
CNN,c2_synreal_realfake,1,crossdomain,0.6435,0.949
CNN,c2_synreal_realfake,2,indomain,0.9817,0.9974
CNN,c2_synreal_realfake,2,crossdomain,0.7305,0.9673
CNN,c3_synreal_synfake,42,indomain,0.4965,0.0624
CNN,c3_synreal_synfake,42,crossdomain,0.1484,0.028
CNN,c3_synreal_synfake,1,indomain,0.4726,0.0532
CNN,c3_synreal_synfake,1,crossdomain,0.0822,0.036
CNN,c3_synreal_synfake,2,indomain,0.5235,0.0718
CNN,c3_synreal_synfake,2,crossdomain,0.262,0.034
BERT,real_real,42,indomain,0.9993,0.9999
BERT,real_real,42,crossdomain,0.9499,0.9985
BERT,real_real,1,indomain,0.997,1.0
BERT,real_real,1,crossdomain,0.5981,0.9991
BERT,real_real,2,indomain,0.9991,0.9999
BERT,real_real,2,crossdomain,0.929,0.9984
BERT,mixed,42,indomain,0.9975,0.9998
BERT,mixed,42,crossdomain,0.9905,0.9973
BERT,mixed,1,indomain,0.9922,0.9994
BERT,mixed,1,crossdomain,0.5804,0.9793
BERT,mixed,2,indomain,0.9989,0.9999
BERT,mixed,2,crossdomain,0.9989,0.9984
BERT,real_syn,42,indomain,0.7215,0.5459
BERT,real_syn,42,crossdomain,0.6759,0.5326
BERT,real_syn,1,indomain,0.3473,0.5011
BERT,real_syn,1,crossdomain,0.0018,0.0338
BERT,real_syn,2,indomain,0.6624,0.5088
BERT,real_syn,2,crossdomain,0.6621,0.6081
