model,comp,test,n_seeds,f1_mean,f1_std,auc_mean,auc_std,f1_pretty
BERT,c2_synreal_realfake,crossdomain,3,0.5853,0.0482,0.6839,0.0504,0.585 +/- 0.048
BERT,c2_synreal_realfake,indomain,3,0.9017,0.0133,0.977,0.0138,0.902 +/- 0.013
BERT,c3_synreal_synfake,crossdomain,3,0.497,0.0348,0.0171,0.0054,0.497 +/- 0.035
BERT,c3_synreal_synfake,indomain,3,0.7304,0.0095,0.2039,0.0594,0.730 +/- 0.009
BERT,mixed,crossdomain,3,0.8566,0.2392,0.9917,0.0107,0.857 +/- 0.239
BERT,mixed,indomain,3,0.9962,0.0035,0.9997,0.0003,0.996 +/- 0.004
BERT,real_real,crossdomain,3,0.8257,0.1974,0.9987,0.0004,0.826 +/- 0.197
BERT,real_real,indomain,3,0.9985,0.0013,0.9999,0.0001,0.999 +/- 0.001
BERT,real_syn,crossdomain,3,0.4466,0.3853,0.3915,0.3121,0.447 +/- 0.385
BERT,real_syn,indomain,3,0.5771,0.2012,0.5186,0.024,0.577 +/- 0.201
BERT,swap_025,crossdomain,3,0.8958,0.1732,0.998,0.0008,0.896 +/- 0.173
BERT,swap_025,indomain,3,0.9985,0.0005,0.9999,0.0001,0.999 +/- 0.001
BERT,swap_075,crossdomain,3,0.8572,0.2132,0.9521,0.0614,0.857 +/- 0.213
BERT,swap_075,indomain,3,0.9827,0.0133,0.9987,0.0011,0.983 +/- 0.013
CNN,c2_synreal_realfake,crossdomain,3,0.6965,0.0465,0.9585,0.0092,0.697 +/- 0.046
CNN,c2_synreal_realfake,indomain,3,0.9801,0.0023,0.9972,0.0003,0.980 +/- 0.002
CNN,c3_synreal_synfake,crossdomain,3,0.1642,0.0909,0.0327,0.0042,0.164 +/- 0.091
CNN,c3_synreal_synfake,indomain,3,0.4975,0.0255,0.0625,0.0093,0.497 +/- 0.025
CNN,mixed,crossdomain,3,0.881,0.0342,0.9237,0.0377,0.881 +/- 0.034
CNN,mixed,indomain,3,0.9418,0.0221,0.9968,0.0011,0.942 +/- 0.022
CNN,real_real,crossdomain,3,0.9662,0.0146,0.9982,0.0002,0.966 +/- 0.015
CNN,real_real,indomain,3,0.9953,0.0003,0.9995,0.0001,0.995 +/- 0.000
CNN,real_syn,crossdomain,3,0.6388,0.0948,0.1034,0.0495,0.639 +/- 0.095
CNN,real_syn,indomain,3,0.7404,0.0112,0.4505,0.0708,0.740 +/- 0.011
CNN,swap_025,crossdomain,3,0.95,0.0115,0.9886,0.0023,0.950 +/- 0.011
CNN,swap_025,indomain,3,0.9855,0.0018,0.9991,0.0001,0.986 +/- 0.002
CNN,swap_075,crossdomain,3,0.7527,0.0509,0.7521,0.0672,0.753 +/- 0.051
CNN,swap_075,indomain,3,0.8742,0.0124,0.9876,0.005,0.874 +/- 0.012
