model,comp,f1_original,f1_attacked,acc_original,acc_attacked,auc_original,auc_attacked,precision_original,precision_attacked,recall_original,recall_attacked,flip_rate
LR,real_real,0.9538,0.8543,0.955,0.855,0.9948,0.9407,0.9789,0.8586,0.93,0.85,0.1152
SVM,real_real,0.9694,0.8856,0.97,0.885,0.9983,0.9477,0.9896,0.8812,0.95,0.89,0.0928
LR,half_synthetic,0.9505,0.819,0.95,0.79,0.9934,0.9176,0.9412,0.7197,0.96,0.95,0.1789
SVM,half_synthetic,0.9305,0.8039,0.935,0.8,0.9905,0.8589,1.0,0.7885,0.87,0.82,0.1551
LR,full_synthetic,0.497,0.5839,0.575,0.43,0.6695,0.1626,0.6087,0.4598,0.42,0.8,0.5913
SVM,full_synthetic,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
LR,style_robust,0.9592,0.9394,0.96,0.94,0.9942,0.9892,0.9792,0.949,0.94,0.93,0.0312
SVM,style_robust,0.9641,0.9552,0.965,0.955,0.9983,0.9967,0.9895,0.9505,0.94,0.96,0.0259
CNN,real_real,0.995,0.9848,0.995,0.985,1.0,0.995,1.0,1.0,0.99,0.97,0.0101
CNN,half_synthetic,0.8734,0.7674,0.855,0.7,0.9988,0.962,0.7752,0.6266,1.0,0.99,0.1813
CNN,full_synthetic,0.6667,0.6667,0.5,0.5,0.5097,0.3222,0.5,0.5,1.0,1.0,0.0
CNN,style_robust,0.995,0.9899,0.995,0.99,1.0,0.9989,1.0,1.0,0.99,0.98,0.005
BERT,real_real,1.0,0.9796,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.96,0.02
BERT,half_synthetic,1.0,0.905,1.0,0.895,1.0,0.9234,1.0,0.8264,1.0,1.0,0.105
BERT,full_synthetic,0.6691,0.6588,0.55,0.565,0.6488,0.5873,0.5291,0.5419,0.91,0.84,0.1545
BERT,style_robust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
