model,comp,f1_original,f1_attacked,acc_original,acc_attacked,flip_rate
LR,real_real,0.9749,0.9754,0.975,0.975,0.0154
SVM,real_real,0.995,0.9756,0.995,0.975,0.0251
LR,half_synthetic,0.9612,0.9259,0.96,0.92,0.0573
SVM,half_synthetic,0.9538,0.9754,0.955,0.975,0.0105
LR,full_synthetic,0.4625,0.7718,0.57,0.725,0.2193
SVM,full_synthetic,0.0,0.0,0.5,0.5,0.0
LR,style_robust,0.9697,0.9366,0.97,0.935,0.0464
SVM,style_robust,0.98,0.9458,0.98,0.945,0.0408
CNN,real_real,0.9899,0.9851,0.99,0.985,0.0101
CNN,half_synthetic,0.8879,0.8772,0.875,0.86,0.0286
CNN,full_synthetic,0.6667,0.6667,0.5,0.5,0.0
CNN,style_robust,0.995,0.9754,0.995,0.975,0.0201
BERT,real_real,1.0,1.0,1.0,1.0,0.0
BERT,half_synthetic,0.9901,0.9615,0.99,0.96,0.0303
BERT,full_synthetic,0.6926,0.6374,0.565,0.505,0.1504
BERT,style_robust,0.995,0.9804,0.995,0.98,0.0151
