sweep,model,test,f1,precision,recall,auc_roc
synthetic_0pct,LR,indomain,0.9631,0.9833,0.9438,0.992
synthetic_0pct,SVM,indomain,0.9722,0.9869,0.9579,0.9949
synthetic_0pct,LR,crossdomain,0.8569,0.9769,0.7631,0.9795
synthetic_0pct,SVM,crossdomain,0.9079,0.9833,0.8432,0.9872
synthetic_25pct,LR,indomain,0.9634,0.9697,0.9572,0.991
synthetic_25pct,SVM,indomain,0.9668,0.9835,0.9507,0.9911
synthetic_25pct,LR,crossdomain,0.9248,0.9636,0.889,0.9792
synthetic_25pct,SVM,crossdomain,0.915,0.9796,0.8584,0.984
synthetic_50pct,LR,indomain,0.9598,0.9492,0.9707,0.9897
synthetic_50pct,SVM,indomain,0.9446,0.9883,0.9045,0.9848
synthetic_50pct,LR,crossdomain,0.9372,0.9412,0.9332,0.9752
synthetic_50pct,SVM,crossdomain,0.8029,0.9826,0.6788,0.966
synthetic_75pct,LR,indomain,0.9426,0.9091,0.9787,0.9879
synthetic_75pct,SVM,indomain,0.2342,1.0,0.1326,0.5667
synthetic_75pct,LR,crossdomain,0.9255,0.897,0.9558,0.9656
synthetic_75pct,SVM,crossdomain,0.007,1.0,0.0035,0.5018
synthetic_100pct,LR,indomain,0.5241,0.7073,0.4164,0.6379
synthetic_100pct,SVM,indomain,0.0,0.0,0.0,0.5
synthetic_100pct,LR,crossdomain,0.8851,0.8305,0.9473,0.9433
synthetic_100pct,SVM,crossdomain,0.0,0.0,0.0,0.5
synthetic_0pct,BERT,indomain,0.9993,0.9989,0.9997,0.9999
synthetic_0pct,BERT,crossdomain,0.9503,0.9986,0.9065,0.9985
synthetic_25pct,BERT,indomain,0.9989,0.998,0.9998,0.9999
synthetic_25pct,BERT,crossdomain,0.9975,0.9977,0.9973,0.9983
synthetic_50pct,BERT,indomain,0.9976,0.9955,0.9998,0.9995
synthetic_50pct,BERT,crossdomain,0.989,0.9948,0.9832,0.9972
synthetic_75pct,BERT,indomain,0.9805,0.9621,0.9997,0.9993
synthetic_75pct,BERT,crossdomain,0.9776,0.9576,0.9984,0.9858
synthetic_100pct,BERT,indomain,0.7282,0.6084,0.9066,0.5817
synthetic_100pct,BERT,crossdomain,0.6691,0.5596,0.8319,0.5109
synthetic_0pct,CNN,indomain,0.9952,0.9983,0.9921,0.9995
synthetic_0pct,CNN,crossdomain,0.9529,0.9979,0.9118,0.9984
synthetic_25pct,CNN,indomain,0.9862,0.9768,0.9957,0.9991
synthetic_25pct,CNN,crossdomain,0.9471,0.9721,0.9233,0.988
synthetic_50pct,CNN,indomain,0.9249,0.862,0.9978,0.9967
synthetic_50pct,CNN,crossdomain,0.8805,0.838,0.9275,0.9203
synthetic_75pct,CNN,indomain,0.885,0.7958,0.9967,0.9871
synthetic_75pct,CNN,crossdomain,0.7737,0.7389,0.8119,0.7774
synthetic_100pct,CNN,indomain,0.7474,0.5969,0.9994,0.4244
synthetic_100pct,CNN,crossdomain,0.7194,0.5659,0.9873,0.0646
