model,composition,accuracy,precision,recall,f1,auc_roc
LR,real_real,0.8549,0.9769,0.7631,0.8569,0.9795
LR,mixed,0.9288,0.9412,0.9332,0.9372,0.9752
LR,real_syn,0.86,0.8305,0.9473,0.8851,0.9433
SVM,real_real,0.9026,0.9833,0.8432,0.9079,0.9872
SVM,mixed,0.8104,0.9826,0.6788,0.8029,0.966
SVM,real_syn,0.4309,0.0,0.0,0.0,0.5
CNN,real_real,0.9524,0.9979,0.9183,0.9565,0.9984
CNN,mixed,0.8495,0.8287,0.9272,0.8752,0.9125
CNN,real_syn,0.5515,0.5613,0.9691,0.7109,0.0538
BERT,real_real,0.9605,0.9987,0.9318,0.9641,0.9985
BERT,mixed,0.9979,0.9972,0.9991,0.9981,0.9981
BERT,real_syn,0.5376,0.5631,0.8365,0.6731,0.5175
